        HGHT       PRES       TEMP       RELH       DWPT       DRCT       SKNT       THTA       MIXR
 2153.951904 791.100000  20.166010  20.958666  -2.904395 202.965901   8.170930 313.647328   3.915269
 2314.363037 775.000000  20.149988  17.000000  -5.704555 182.573359   3.463813 315.479946   3.234995
 2593.384033 750.000000  18.350000  17.000000  -7.169349 182.894513   3.464740 316.498049   2.986906
 3177.525879 700.000000  12.950006  21.000000  -8.900434 172.069534   3.945171 316.825280   2.796131
 3792.801758 650.000000   7.249994  27.000000 -10.547706 124.053269   3.402222 317.164652   2.643294
 4444.097168 600.000000   1.749994  33.000000 -12.843460  63.720355   6.981234 318.143806   2.380969
 5138.546387 550.000000  -3.150000  30.000000 -18.312075  60.083060   8.029449 320.346538   1.649332
 5887.319824 500.000000  -7.150000  11.000000 -32.730587  93.852006   7.813091 324.321855   0.490442
 6698.201660 450.000000 -13.650000  10.000000 -38.845820 132.580491   9.768479 326.075811   0.295962
 7581.387695 400.000000 -20.250006  30.000000 -33.387355 152.132996  19.131370 328.669695   0.574597
 8552.827148 350.000000 -29.250006  50.000000 -36.403590 155.629879  24.969619 329.312586   0.487015
 9631.384766 300.000000 -38.250006  19.000000 -53.324316 155.095232  24.005054 331.456337   0.089446
10865.811523 250.000000 -45.549994  22.000000 -58.446207 149.601272  16.903860 338.346296   0.057365
11562.123047 225.000000 -49.150000  25.000000 -60.606660 138.179829  19.824988 343.181460   0.048424
12325.687500 200.000000 -54.150000  30.000000 -63.680194 107.759467  17.207959 347.016029   0.036433
13174.320312 175.000000 -57.349997  35.000000 -65.439191 105.189286  13.355280 355.256935   0.032869
14140.459961 150.000000 -61.049994  43.000000 -67.354800  90.939191  11.859993 364.903964   0.029482
15264.519531 125.000000 -63.950003  38.000000 -70.918889  63.118983   9.459034 379.179989   0.021362
16625.078125 100.000000 -64.650000  11.000000 -79.679824  54.965434   6.434053 402.815394   0.007037
18817.929688  70.000000 -62.549994   3.000000 -85.802841   1.379076  10.500642 450.567996   0.003625
20909.779297  50.000000 -58.849997   2.000000 -85.392238 343.116495  11.579926 504.796989   0.005448
24148.390625  30.000000 -53.750006   0.100000 -98.049645   0.445625  17.496529 598.108442   0.000000
