        HGHT       PRES       TEMP       RELH       DWPT       DRCT       SKNT       THTA       MIXR
 1464.031982 861.600000  33.566003  14.021823   2.410785 205.962753   6.616372 320.065607   5.307016
 1592.021484 850.000000  28.149988  18.000000   1.578298  65.253252   5.479873 315.635106   5.064928
 1855.274170 825.000000  26.350000  19.000000   0.861723  65.382543   6.906893 316.439724   4.955183
 2124.908936 800.000000  24.350000  20.000000  -0.073714  63.645594   7.094215 317.105105   4.773854
 2401.116211 775.000000  22.050012  21.000000  -1.310191  57.702732   6.876431 317.523654   4.500216
 2684.082031 750.000000  19.649988  23.000000  -2.080018  50.021459   6.595978 317.909520   4.392682
 3271.704346 700.000000  14.550012  28.000000  -3.776335  35.560735   5.615738 318.597117   4.145838
 3891.062012 650.000000   8.950006  34.000000  -6.096342   0.246963   4.510122 319.087562   3.742893
 4546.692383 600.000000   3.350000  38.000000  -9.647559 312.033960   5.313134 319.995505   3.075329
 5244.918457 550.000000  -2.049994  41.000000 -13.567735 296.113913   7.729056 321.651661   2.448762
 5994.247070 500.000000  -7.449988  41.000000 -18.469304 280.520784  12.456612 323.956093   1.789932
 6806.502930 450.000000 -12.449988  20.000000 -30.846463 292.075288  18.880084 327.583691   0.652738
 7694.950684 400.000000 -18.750006  27.000000 -33.149483 313.008329  16.216514 330.619100   0.588136
 8674.818359 350.000000 -26.150000  19.000000 -42.984370 313.919074   7.286759 333.498199   0.246350
 9774.783203 300.000000 -32.950003  10.000000 -54.282781 291.801410   1.046876 338.934922   0.079794
11031.856445 250.000000 -42.150000  13.000000 -59.705584 273.179830   3.504596 343.400669   0.048929
11736.709961 225.000000 -46.950003  16.000000 -62.138134 283.570434   5.799510 346.551988   0.039705
12508.420898 200.000000 -51.650000  22.000000 -63.786621 265.236358   7.022658 350.977399   0.035925
13364.500000 175.000000 -56.450003  28.000000 -66.260543 279.090277   4.921815 356.738534   0.029388
14331.258789 150.000000 -61.549994  25.000000 -71.626734 318.094059  10.187005 364.043747   0.016065
15442.929688 125.000000 -68.049994  37.000000 -74.885895 333.664590  13.014772 371.748658   0.011881
16772.369141 100.000000 -70.349997  37.000000 -77.010880 344.413696   7.669222 391.803181   0.010722
18881.439453  70.000000 -69.549994  16.000000 -81.547187 356.745354  14.038884 435.591852   0.007426
20928.417969  50.000000 -61.349997   1.000000 -91.063067   2.778351  13.234758 498.908084   0.001978
24135.250000  30.000000 -54.450003   0.100000 -98.460802   4.635463  21.649214 596.200174   0.000000
