        HGHT       PRES       TEMP       RELH       DWPT       DRCT       SKNT       THTA       MIXR
 2598.239990 745.500000  15.307001  12.660795 -13.340785 225.945388   4.165652 313.733617   1.841385
 3124.199951 700.000000   9.350000  16.000000 -15.260151 352.711048   1.685460 312.838657   1.674694
 3731.633057 650.000000   3.850000  21.000000 -16.536849   2.802452   2.783249 313.318868   1.621271
 4375.151367 600.000000  -1.350012  28.000000 -17.555539 340.114835   1.943222 314.556146   1.611837
 5062.209473 550.000000  -5.850012  27.000000 -21.893665 199.983107   5.233405 317.143058   1.210363
 5800.278320 500.000000 -11.650000  36.000000 -23.759579 207.155156   9.285505 318.835207   1.128473
 6598.144531 450.000000 -17.349997  43.000000 -26.964630 217.760162  12.761957 321.426564   0.937873
 7470.287109 400.000000 -22.950003  31.000000 -35.450547 217.333195  14.424952 325.160769   0.468881
 8434.334961 350.000000 -30.450003  63.000000 -35.218833 205.489199  18.521128 327.692356   0.548063
 9510.027344 300.000000 -39.049994  80.000000 -41.196459 211.607504  23.739097 330.327512   0.347098
10733.174805 250.000000 -48.750006  87.000000 -49.970482 228.277676  31.254901 333.589213   0.158747
11418.824219 225.000000 -52.450003  87.000000 -53.624596 222.212519  36.745714 338.125658   0.114977
12175.072266 200.000000 -54.750006  65.000000 -58.251921 214.992021  38.679156 346.065291   0.073442
13028.450195 175.000000 -55.349997  35.000000 -63.610432 226.104313  40.654933 358.549400   0.042024
14003.830078 150.000000 -59.150000  23.000000 -70.072152 220.364537  40.822149 368.172777   0.020108
15135.700195 125.000000 -62.349997  18.000000 -74.548250 211.934290  26.571921 382.080039   0.012504
16502.759766 100.000000 -65.049994  18.000000 -76.898522 235.407710  23.284186 402.042619   0.010911
18675.070312  70.000000 -64.549994   7.000000 -82.369478 201.501433   5.516030 446.289097   0.006484
20740.720703  50.000000 -62.150000   3.000000 -85.499319 196.294048   5.265908 497.023627   0.005348
23908.160156  30.000000 -60.250006   1.000000 -90.294065 250.264836   4.605639 580.388729   0.003800
