        HGHT       PRES       TEMP       RELH       DWPT       DRCT       SKNT       THTA       MIXR
 2713.823975 737.100000  -2.016974  50.740348 -10.884879 230.250273   2.553753 295.848838   2.266124
 3103.755371 700.000000   6.149988  34.000000  -8.573707 199.106352   6.295439 309.294984   2.866791
 3707.208252 650.000000   2.749994  37.000000 -10.523311 196.982954   7.520768 312.074635   2.647316
 4349.807617 600.000000  -1.350012  40.000000 -13.238149 220.075908   8.968100 314.556146   2.305185
 5037.319824 550.000000  -5.750006  52.000000 -14.050343 226.640181  12.486625 317.261712   2.353197
 5778.033691 500.000000 -10.250006  45.000000 -19.937815 226.446238  12.526739 320.542157   1.577934
 6580.915039 450.000000 -15.750006  39.000000 -26.572566 224.229252  12.262681 323.437040   0.972325
 7458.016113 400.000000 -21.849997  19.000000 -39.331359 236.853004  11.376969 326.590341   0.316516
 8425.308594 350.000000 -29.450003   5.000000 -57.226872 270.000000   4.276800 329.042551   0.047762
 9507.557617 300.000000 -37.049994  24.000000 -50.288117  85.914383  27.285340 333.149618   0.127633
10744.034180 250.000000 -46.349997  70.000000 -49.521800 101.572928  58.141200 337.157025   0.167145
11434.592773 225.000000 -52.049994  92.000000 -52.757967 107.213816  66.346242 338.738496   0.127445
12188.313477 200.000000 -56.549994  82.000000 -58.148715 101.901606  44.303584 343.213124   0.074392
13031.349609 175.000000 -57.650000  57.000000 -62.056623 116.973403  31.715906 354.763060   0.051571
13998.499023 150.000000 -61.049994  49.000000 -66.407728 113.888094  27.363269 364.903964   0.033596
15122.700195 125.000000 -62.849997  24.000000 -73.062940 140.917802  18.532357 381.173777   0.015611
16491.009766 100.000000 -65.049994  17.000000 -77.266368 176.415826  17.725070 402.042619   0.010305
18655.609375  70.000000 -64.349997   8.000000 -81.396236 175.914383  13.915523 446.716981   0.007612
20721.050781  50.000000 -63.150000   3.000000 -86.258460 179.012240  10.149188 494.668065   0.004689
23881.140625  30.000000 -59.250006   1.000000 -89.596284 205.866357   7.129473 583.114839   0.004316
