        HGHT       PRES       TEMP       RELH       DWPT       DRCT       SKNT       THTA       MIXR
 2598.239990 750.500000  19.185022  13.427973  -9.533066 205.034866   7.488060 317.344187   2.482146
 2613.556885 750.000000  15.450006  15.000000 -11.116854 217.438572   7.834706 313.349362   2.189732
 3192.116211 700.000000  10.550012  19.000000 -12.162918 251.831542   6.608599 314.167543   2.156813
 3804.047607 650.000000   6.550012  21.000000 -14.266248 274.449847  15.033557 316.372893   1.957324
 4454.556641 600.000000   1.850000  21.000000 -18.221412 295.964068  12.432864 318.259544   1.523941
 5149.338867 550.000000  -2.650000  13.000000 -27.360494 283.588629  10.259920 320.939772   0.740690
 5898.138672 500.000000  -7.150000   4.000000 -42.688591 250.067463   7.527072 324.321855   0.178253
 6710.049316 450.000000 -12.650000   4.000000 -46.670652 216.285268   9.526096 327.332365   0.128350
 7595.729492 400.000000 -19.849997   9.000000 -44.746284 202.974037   8.467030 329.189548   0.178311
 8571.646484 350.000000 -27.250006  17.000000 -44.945646 166.759480   6.790100 332.012976   0.199289
 9662.352539 300.000000 -35.750006  21.000000 -50.316004 121.607504   5.934774 334.983970   0.127235
10901.886719 250.000000 -45.650000  34.000000 -55.004979 143.972627   5.288252 338.197629   0.087691
11597.825195 225.000000 -49.150000  47.000000 -55.562143 171.764380  14.928350 343.181460   0.091043
12365.514648 200.000000 -51.849997  53.000000 -57.122512 170.537677  28.379736 350.660495   0.084551
13223.730469 175.000000 -55.950003  41.000000 -62.968073 168.111342  37.745652 357.561650   0.045756
14188.818359 150.000000 -62.450003  40.000000 -69.172207 168.125390  36.750450 362.495341   0.022854
15305.428711 125.000000 -65.650000  30.000000 -74.081423 180.000000  25.272000 376.098704   0.013412
16649.789062 100.000000 -68.150000  28.000000 -76.797767 219.316293  14.573843 396.053505   0.011082
18804.949219  70.000000 -64.049994   7.000000 -81.964402 262.105959   4.670984 447.358822   0.006933
20880.167969  50.000000 -61.349997   2.000000 -87.227494 325.407712   6.848290 498.908084   0.003957
24085.548828  30.000000 -55.849997   0.100000 -99.285253  26.071843   6.059826 592.383637   0.000000
