        HGHT       PRES       TEMP       RELH       DWPT       DRCT       SKNT       THTA       MIXR
 2598.239990 744.900000  12.878015  23.374223  -7.581607 204.072005   6.195873 311.163431   2.911452
 3115.621094 700.000000   9.350000  22.000000 -11.333929 195.340891   4.555767 312.838657   2.305031
 3723.604980 650.000000   4.450006  25.000000 -13.913430 179.274776   1.535883 313.997544   2.014332
 4368.667480 600.000000  -0.850012  32.000000 -15.516980 274.014176   1.110805 315.134800   1.911714
 5055.399902 550.000000  -6.650000  40.000000 -18.034907 242.813320   4.807972 316.193898   1.688056
 5792.741699 500.000000 -11.549994  42.000000 -21.923002 211.020654  10.071815 318.957140   1.327552
 6591.822266 450.000000 -17.049994  42.000000 -26.946646 212.281590  16.670738 321.803535   0.939447
 7465.905762 400.000000 -22.349997  42.000000 -31.797749 211.696569  22.939332 325.940539   0.670005
 8431.452148 350.000000 -30.049994  75.000000 -33.055797 203.875282  25.936195 328.232446   0.677764
 9506.525391 300.000000 -39.750006  75.000000 -42.490121 203.581651  26.726289 329.339758   0.302686
10724.937500 250.000000 -49.750006  81.000000 -51.572004 209.804751  23.075534 332.102630   0.131865
11406.775391 225.000000 -53.950003  67.000000 -57.237329 212.005383  27.509489 335.827567   0.074086
12160.125000 200.000000 -54.950003  48.000000 -60.827212 216.444441  40.840677 345.748386   0.052937
13014.508789 175.000000 -54.349997  28.000000 -64.376584 217.523454  43.630085 360.195632   0.037940
13998.709961 150.000000 -56.549994  16.000000 -70.340222 208.892192  41.964962 372.645915   0.019352
15138.599609 125.000000 -61.950003  18.000000 -74.200470 211.616301  24.882751 382.805037   0.013175
16506.830078 100.000000 -65.349997  19.000000 -76.811601 191.047351  16.637914 401.463022   0.011059
18666.839844  70.000000 -64.349997   7.000000 -82.207423 226.039404  12.882268 446.716981   0.006661
20734.560547  50.000000 -62.750006   4.017223 -84.252852 158.381760   5.645940 495.610275   0.006619
23905.359375  30.000000 -58.049994   1.000000 -88.760590 187.907163   7.065577 586.386204   0.005020
