        HGHT       PRES       TEMP       RELH       DWPT       DRCT       SKNT       THTA       MIXR
 2598.239990 747.800000  -0.925970  83.025083  -3.446741 325.304844   0.922120 295.817469   3.970704
 3152.035156 700.000000  11.649988  12.000000 -16.878794 203.098877   7.333623 315.385648   1.463750
 3768.114258 650.000000   8.950006  11.000000 -20.026022 193.671307   9.623291 319.087562   1.206027
 4424.212891 600.000000   4.249994  15.000000 -20.173910 183.337443  18.032023 321.037075   1.289602
 5125.319336 550.000000  -0.250006  11.000000 -27.262840 174.080962  20.736393 323.787290   0.747547
 5880.250488 500.000000  -5.350012   9.000000 -33.382020 175.030259  20.645133 326.516499   0.460439
 6696.089355 450.000000 -11.949988  13.000000 -34.877239 182.102124  21.729103 328.211969   0.441539
 7585.354980 400.000000 -18.450003  18.000000 -36.988555 168.211816  22.837657 331.008985   0.402105
 8565.858398 350.000000 -26.250006  32.000000 -38.077843 160.641006  22.871555 333.363171   0.411250
 9658.699219 300.000000 -35.650000  58.000000 -40.982785 148.722297  24.338072 335.125083   0.355061
10899.360352 250.000000 -45.549994  41.000000 -53.353385 142.454299  29.667504 338.346296   0.106916
11593.122070 225.000000 -50.849997  48.000000 -56.981938 140.013114  31.461583 340.576963   0.076478
12349.756836 200.000000 -56.549994  65.000000 -59.985913 146.876266  32.729133 343.213124   0.058968
13185.009766 175.000000 -61.849997  82.000000 -63.359544 161.420209  34.044786 347.848890   0.043438
14127.940430 150.000000 -66.549994  90.000000 -67.313484 148.662593  33.230013 355.441579   0.029648
15224.218750 125.000000 -68.750006  62.000000 -72.078194 165.403992  39.573983 370.479869   0.018046
16556.359375 100.000000 -68.650000  32.000000 -76.387552 164.399161  31.082730 395.087521   0.011807
18707.330078  70.000000 -65.049994  10.000000 -80.605103 150.508135  15.834737 445.219373   0.008660
20777.300781  50.000000 -60.250006   2.000000 -86.419103 129.924013   4.816297 501.499181   0.004560
23997.068359  30.000000 -55.950003   0.100000 -99.344255 104.381395   1.565373 592.111009   0.000000
