        HGHT       PRES       TEMP       RELH       DWPT       DRCT       SKNT       THTA       MIXR
 2598.239990 752.400000   0.332025  79.633633  -2.778564 273.521453   1.265990 296.663717   4.149144
 2630.374023 750.000000  14.149988  19.000000  -9.182533 252.512003   5.951562 311.937858   2.552085
 3207.500000 700.000000  10.249994  18.000000 -13.081483 249.394787   7.954381 313.835304   2.002292
 3818.421143 650.000000   5.950006  21.000000 -14.770475 245.067413  10.375953 315.694217   1.877727
 4467.202637 600.000000   1.149988  22.000000 -18.263826 256.841071  10.161785 317.449415   1.518364
 5161.190918 550.000000  -2.549994   9.000000 -31.206323 260.291188   6.685919 321.058426   0.516416
 5910.822266 500.000000  -6.750006   1.000000 -54.642808 243.149187   3.486270 324.809550   0.045945
 6722.916992 450.000000 -12.949988   3.000000 -49.440985 252.288865   6.326249 326.955414   0.093951
 7607.667969 400.000000 -20.049994   8.000000 -45.978597 262.874984   9.403818 328.929631   0.155787
 8581.531250 350.000000 -27.950003  12.000000 -48.659794 256.504266   9.996017 331.067843   0.131858
 9670.344727 300.000000 -35.650000  18.000000 -51.559203 208.705953   9.308898 335.125083   0.110148
10918.726562 250.000000 -42.849997  20.000000 -56.864348 185.612204  33.793183 342.360066   0.069870
11622.684570 225.000000 -46.950003  21.000000 -60.034719 182.174744  46.106010 346.551988   0.052114
12394.766602 200.000000 -51.450003  22.000000 -63.611186 180.821389  54.243173 351.294304   0.036774
13250.769531 175.000000 -57.049994  23.000000 -68.215354 174.503108  46.676245 355.750810   0.022418
14210.750000 150.000000 -63.549994  31.000000 -71.953319 174.663307  32.606138 360.602880   0.015317
15317.860352 125.000000 -67.250006  32.000000 -75.109436 193.332354  29.168527 373.198655   0.011485
16657.769531 100.000000 -67.950003  27.000000 -76.852089 186.755018  20.163170 396.439893   0.010990
18814.429688  70.000000 -64.349997   8.000000 -81.396236 310.426078   1.379007 446.716981   0.007612
20883.359375  50.000000 -61.849997   3.000000 -85.271785 351.038690   5.116857 497.730303   0.005562
24081.158203  30.000000 -56.650000   1.000000 -87.787898  11.309933   1.982499 590.202741   0.005973
