        HGHT       PRES       TEMP       RELH       DWPT       DRCT       SKNT       THTA       MIXR
 2598.239990 750.600000   1.192010  41.101754 -10.598728  15.720927   2.726386 297.800532   2.277174
 2610.173096 750.000000  11.450006  18.000000 -12.092731   8.325650   1.611059 309.006335   2.024140
 3183.150879 700.000000   9.249994  27.000000  -8.822922 210.465546   2.300500 312.727911   2.812202
 3793.613037 650.000000   6.350000  34.000000  -8.396634 175.473525   4.680198 316.146656   3.131530
 4445.412598 600.000000   2.749994  16.000000 -20.649900 138.161941  12.211430 319.301114   1.237385
 5142.819336 550.000000  -1.650000   7.000000 -33.127560 147.306843  23.861822 322.126241   0.429194
 5893.514648 500.000000  -6.750006   8.000000 -35.662268 151.229090  29.363442 324.809550   0.367753
 6706.264160 450.000000 -12.350012   8.000000 -39.988636 141.631464  34.638377 327.709316   0.263042
 7594.815430 400.000000 -18.849997  15.000000 -39.112179 140.914264  46.558622 330.489151   0.323832
 8571.227539 350.000000 -27.549994  31.000000 -39.547882 140.844565  52.646521 331.607934   0.353590
 9660.230469 300.000000 -35.849997  31.000000 -46.965591 145.083450  60.454649 334.842877   0.185977
10901.440430 250.000000 -45.250006  38.000000 -53.715127 151.779027  66.187705 338.792253   0.102406
11596.777344 225.000000 -49.950003  43.000000 -57.032043 153.017245  71.552141 341.955808   0.076009
12357.871094 200.000000 -54.950003  56.000000 -59.623518 156.933956  69.515065 345.748386   0.061760
13197.849609 175.000000 -61.250006  89.000000 -62.145379 166.114975  67.885262 348.836614   0.050970
14142.530273 150.000000 -65.650000  72.000000 -68.032832 168.634242  58.693430 356.989959   0.026824
15242.230469 125.000000 -68.049994  52.000000 -72.606918 173.639924  49.487778 371.748658   0.016697
16569.140625 100.000000 -72.150000  55.000000 -76.134330 188.003665  32.391520 388.325632   0.012277
18666.089844  70.000000 -69.349997  14.000000 -82.185306 159.448456  28.962038 436.019735   0.006685
20717.300781  50.000000 -63.049994   3.000000 -86.182493 190.080598   8.885165 494.903635   0.004751
23900.607422  30.000000 -55.750006   0.100000 -99.226274 162.597296  13.649593 592.656223   0.000000
