        HGHT       PRES       TEMP       RELH        DWPT       DRCT       SKNT       THTA       MIXR
 2713.823975 744.100000  16.607019  12.729022  -12.246737 189.688786   4.851439 315.317019   2.016056
 3196.887207 700.000000  12.450006  13.000000  -15.282304 175.006256   4.019899 316.271583   1.672112
 3810.904297 650.000000   7.050012  16.000000  -17.135264 127.104235   3.802496 316.938450   1.542367
 4461.259766 600.000000   1.350000  18.000000  -20.441647 126.869897   2.624400 317.680890   1.259751
 5153.515137 550.000000  -4.250006  20.000000  -23.921894 178.972383   4.335817 319.041415   1.011643
 5897.340820 500.000000  -8.850012   3.000000  -46.546147 200.507104   7.990786 322.249106   0.117159
 6703.841309 450.000000 -14.549994  24.000000  -30.723334 208.991387   5.133964 324.944920   0.660304
 7584.386719 400.000000 -21.150000  66.000000  -25.828405 213.690067   2.803677 327.500060   1.170368
 8555.893555 350.000000 -28.250006  97.000000  -28.577785 203.198592   1.480506 330.662781   1.038118
 9643.377930 300.000000 -36.250006 100.000000  -36.250006 268.152390   6.029534 334.278443   0.576769
10877.735352 250.000000 -47.549994  97.000000  -47.821571 305.134192  12.836290 335.373130   0.202651
11568.329102 225.000000 -49.950003  51.000000  -55.642459 340.463344  12.789097 341.955808   0.090152
12334.620117 200.000000 -51.950003  15.000000  -66.871531 350.537678  10.642401 350.502030   0.023648
13191.990234 175.000000 -55.849997  16.000000  -69.740047 350.909723   4.921815 357.726283   0.018075
14161.320312 150.000000 -60.549994  30.000000  -69.460806  49.398704   1.792279 365.764181   0.021938
15282.179688 125.000000 -65.450003  36.000000  -72.672395  51.153103   3.719142 376.461204   0.016538
16623.220703 100.000000 -69.650000  35.000000  -76.723865  31.817721  10.066260 393.155553   0.011210
18752.910156  70.000000 -66.849997  11.000000  -81.526796  30.193158  11.403081 441.368358   0.007451
20810.738281  50.000000 -62.549994   3.000000  -85.802841  25.353753  13.982807 496.081416   0.005075
23989.050781  30.000000 -57.250006   0.100000 -100.112577  30.465544   7.668335 588.567058   0.000000
