        HGHT       PRES       TEMP       RELH       DWPT       DRCT       SKNT       THTA       MIXR
 2713.823975 738.200000   1.656000  90.905218   0.329569 178.363423   1.361355 299.728772   5.320154
 3113.173096 700.000000   4.950006  64.000000  -1.299632 194.908986   9.595920 307.966132   4.982111
 3716.653320 650.000000   3.249994  50.000000  -6.194914 185.893529  12.116844 312.640192   3.712706
 4362.203125 600.000000   0.450006  34.000000 -13.627036 160.842803  20.970678 316.639321   2.233645
 5056.442383 550.000000  -2.549994  35.000000 -15.943492 153.752051  29.846384 321.058426   2.013112
 5806.561035 500.000000  -6.750006  36.000000 -19.363739 151.419892  38.076451 324.809550   1.658322
 6619.881836 450.000000 -13.250006  49.000000 -21.724750 152.633760  35.439526 326.578425   1.501052
 7505.267090 400.000000 -19.750006  84.000000 -21.762446 146.068659  43.532858 329.319496   1.682665
 8481.781250 350.000000 -27.150000 100.000000 -27.150000 140.669383  57.050689 332.148004   1.184993
 9576.461914 300.000000 -34.250006  88.000000 -35.543818 129.173658  74.476517 337.100549   0.619000
10825.554688 250.000000 -43.450003  99.000000 -43.543495 125.302025  82.417574 341.468107   0.324443
11526.378906 225.000000 -48.549994  97.000000 -48.818803 123.726375  85.080822 344.100706   0.201182
12290.780273 200.000000 -54.049994  95.000000 -54.477062 120.564026  86.017549 347.174494   0.116779
13139.139648 175.000000 -58.250006  84.000000 -59.630648 122.142881  85.866947 353.775311   0.070511
14100.919922 150.000000 -61.349997  50.000000 -66.543426 120.079081  62.835448 364.387828   0.032976
15218.769531 125.000000 -66.450003  56.000000 -70.575993 158.598523  33.616370 374.648680   0.022443
16556.150391 100.000000 -70.450003  49.000000 -75.276126 164.497461  27.638320 391.609972   0.013997
18684.880859  70.000000 -65.849997  10.000000 -81.271705 176.143199  22.543133 443.507807   0.007769
20742.609375  50.000000 -63.250006   3.000000 -86.334439 202.055653  11.389401 494.432494   0.004627
23909.500000  30.000000 -58.150000   1.000000 -88.830166 228.012788   2.615384 586.113576   0.004958
