        HGHT       PRES       TEMP       RELH       DWPT       DRCT       SKNT       THTA       MIXR
 2767.456055 736.600000  10.495996  22.168027 -10.272115  76.865978   0.598866 309.562530   2.383668
 3155.510254 700.000000   7.550012  12.000000 -20.117798  48.778197   2.920532 310.845362   1.110752
 3758.800293 650.000000   2.050012  15.000000 -21.962482  47.652132   5.050249 311.282875   1.018426
 4397.603516 600.000000  -3.350012  20.000000 -23.164267  73.879789   3.500766 312.241531   0.991962
 5078.005859 550.000000  -8.650000  26.000000 -24.750661 130.728007   5.720548 313.820960   0.938839
 5808.913574 500.000000 -13.750006  30.000000 -27.640950 137.634027   5.683167 316.274764   0.793247
 6601.316895 450.000000 -18.750006  29.000000 -32.411459 180.795724   2.799630 319.667377   0.561489
 7468.868164 400.000000 -24.450003   9.000000 -48.385978 147.956483   6.192212 323.211364   0.119037
 8428.467773 350.000000 -30.650000   8.000000 -54.303609 150.255120  10.971120 327.422321   0.068235
 9504.967773 300.000000 -38.750006  12.000000 -57.523699 156.801408  11.844050 330.750811   0.053670
10733.269531 250.000000 -46.650000  14.000000 -62.900951 174.644175  12.496156 336.711046   0.032328
11426.247070 225.000000 -50.349997  16.000000 -65.035920 187.907163  14.131155 341.342993   0.027008
12185.929688 200.000000 -55.250006  22.000000 -66.948476 212.932230  20.382356 345.273017   0.023395
13028.349609 175.000000 -59.650000  35.000000 -67.544387 220.601294  23.299634 351.470596   0.024615
13984.790039 150.000000 -62.150000  46.000000 -67.898121 218.530178  20.128851 363.011476   0.027336
15100.269531 125.000000 -65.849997  44.000000 -71.674613 224.257319  14.847095 375.736205   0.019142
16451.240234 100.000000 -66.549994  23.000000 -76.635238 231.543790  10.252697 399.144666   0.011365
18594.917969  70.000000 -67.849997  12.000000 -81.840995 180.171544   6.492989 439.228909   0.007076
20632.880859  50.000000 -64.650000   4.000000 -85.753528 175.944251   7.970922 491.134721   0.005118
23801.380859  30.000000 -58.549994   1.000000 -89.108573 187.548870  24.120246 585.023149   0.004715
