        HGHT       PRES       TEMP       RELH       DWPT       DRCT       SKNT       THTA       MIXR
 2713.823975 743.700000   2.318994  83.859959  -0.131588  75.173520   1.367449 299.814724   5.105938
 3188.159912 700.000000  10.550012  22.000000 -10.322881 168.079261   3.576326 314.167543   2.498730
 3799.787109 650.000000   6.249994  20.000000 -15.112006 121.759480   0.960265 316.033537   1.825596
 4449.562500 600.000000   1.649988  16.000000 -21.550874 292.680559   1.411644 318.028068   1.143906
 5144.081055 550.000000  -2.750006   7.000000 -33.959964 191.138560   7.647904 320.821118   0.395665
 5892.494141 500.000000  -6.949988  12.000000 -31.667300 159.151398  16.932854 324.565721   0.543373
 6706.451172 450.000000 -11.949988  38.000000 -23.421500 155.495839  22.966573 328.211969   1.292416
 7596.972656 400.000000 -18.250006  59.000000 -24.310430 140.792795  28.600594 331.268901   1.342603
 8578.446289 350.000000 -26.150000  53.000000 -32.909551 132.549149  35.359965 333.498199   0.687674
 9672.064453 300.000000 -35.450003  60.000000 -40.468455 133.279186  32.042994 335.407290   0.374698
10911.456055 250.000000 -46.150000  66.000000 -49.842679 117.807040  32.087780 337.454337   0.161117
11603.266602 225.000000 -51.349997  62.000000 -55.367899 120.108660  37.977720 339.810933   0.093209
12359.708008 200.000000 -56.150000  64.000000 -59.722345 130.076562  36.838159 343.846933   0.060985
13196.530273 175.000000 -61.950003  79.000000 -63.738296 153.369505  30.445821 347.684256   0.041306
14141.160156 150.000000 -64.549994  71.000000 -67.063513 156.417919  37.756307 358.882446   0.030693
15252.889648 125.000000 -65.849997  32.000000 -73.832215 168.065411  34.970308 375.736205   0.013922
16598.300781 100.000000 -67.650000  26.000000 -76.825816 182.733668  21.602984 397.019489   0.011034
18754.728516  70.000000 -64.750006   9.000000 -81.004261 180.790237   8.457204 445.861181   0.008116
20825.859375  50.000000 -60.250006   2.000000 -86.419103 176.227717   1.772881 501.499181   0.004560
24047.699219  30.000000 -55.049994   0.100000 -98.813784 333.096426   5.885827 594.564533   0.000000
