        HGHT       PRES       TEMP       RELH       DWPT       DRCT       SKNT       THTA       MIXR
 2713.823975 740.700000  16.864008  22.091414  -4.961192 197.318938   7.575117 316.010319   3.581783
 3154.424072 700.000000  12.850000  23.000000  -7.814117 194.705271   8.883463 316.714534   3.043656
 3770.164307 650.000000   8.249994  21.000000 -12.838732 189.436584   7.114110 318.295767   2.199346
 4425.370605 600.000000   3.850000  15.000000 -20.498869 191.859779   9.932014 320.574159   1.253816
 5124.529785 550.000000  -1.150000  11.000000 -27.974060 192.329411  17.570770 322.719475   0.699967
 5877.202637 500.000000  -5.650000   5.000000 -39.469731 191.770204  23.729751 326.150738   0.249952
 6692.944336 450.000000 -11.949988  13.000000 -34.877239 191.883873  23.978000 328.211969   0.441539
 7579.792969 400.000000 -19.849997  17.000000 -38.726598 189.819301  20.518180 329.189548   0.336896
 8555.663086 350.000000 -27.150000   9.000000 -50.530131 170.933497  18.504796 332.148004   0.106465
 9646.277344 300.000000 -35.750006  22.000000 -49.911470 153.860931  23.387056 334.983970   0.133295
10886.079102 250.000000 -45.950003  48.000000 -52.393234 147.838815  30.312066 337.751650   0.119783
11578.837891 225.000000 -50.950003  64.000000 -54.721815 162.040525  29.631815 340.423748   0.100799
12335.930664 200.000000 -55.950003  82.000000 -57.558979 180.335059  33.242969 344.163838   0.080077
13177.540039 175.000000 -60.049994  78.000000 -61.973438 184.236395  36.842261 350.812113   0.052130
14127.860352 150.000000 -64.650000  51.000000 -69.519964 175.122576  43.898964 358.710393   0.021752
15230.839844 125.000000 -68.450003  56.000000 -72.484171 183.641185  38.569057 371.023632   0.017002
16560.849609 100.000000 -69.250006  39.000000 -75.650368 178.152390  30.147673 393.928328   0.013221
18710.779297  70.000000 -65.450003  10.000000 -80.938345 177.013363  20.147767 444.363574   0.008203
20782.888672  50.000000 -61.049994   2.000000 -87.006881 126.034353  11.731344 499.614760   0.004114
23998.320312  30.000000 -55.450003   0.100000 -99.049406 125.837653   4.316380 593.474064   0.000000
