        HGHT       PRES       TEMP       RELH       DWPT       DRCT       SKNT       THTA       MIXR
 2153.951904 787.700000  22.412012   8.500139 -12.783369 214.952763   4.648762 316.438569   1.824322
 2289.309082 775.000000  18.249994  10.000000 -13.946542  71.444934   2.932348 313.436271   1.686168
 2566.368164 750.000000  16.450006  10.000000 -15.331559  71.565052   2.950785 314.435118   1.554595
 3146.028076 700.000000  10.950006  11.000000 -18.460831  77.866120   3.976846 314.610493   1.280572
 3757.639160 650.000000   6.649988  11.000000 -21.829540  88.955208   6.396823 316.485977   1.030807
 4411.955566 600.000000   4.950006   8.000000 -26.703685  76.681009  15.442483 321.847204   0.721621
 5116.609375 550.000000   1.850000   8.000000 -29.066812  77.360388  23.987069 326.278881   0.632421
 5875.990723 500.000000  -4.250006   6.000000 -36.642274  95.512689  24.080895 327.857687   0.333479
 6694.696289 450.000000 -11.350012  10.000000 -37.025184 103.657642  21.406079 328.965870   0.356305
 7584.308594 400.000000 -18.849997  13.000000 -40.493071 108.788622  19.918175 330.489151   0.280635
 8562.380859 350.000000 -26.950003  18.000000 -44.166088 127.828287  20.920367 332.418039   0.216915
 9652.386719 300.000000 -35.950003  30.000000 -47.348967 123.690068  14.018383 334.701763   0.178188
10890.252930 250.000000 -46.750006  62.000000 -50.960858 101.888659  11.323695 336.562379   0.141612
11579.117188 225.000000 -52.450003  88.000000 -53.528747 110.224859  15.745200 338.125658   0.116299
12331.457031 200.000000 -57.150000  80.000000 -58.934254 100.304846  17.387665 342.262385   0.067393
13169.110352 175.000000 -60.450003  54.000000 -65.126878 112.000699  20.757150 350.153605   0.034286
14123.290039 150.000000 -62.750006  39.000000 -69.628392 108.034285  25.494173 361.979206   0.021420
15237.668945 125.000000 -65.549994  46.000000 -71.087461  73.237446  16.851240 376.279968   0.020847
16587.099609 100.000000 -65.849997  22.000000 -76.302330  76.173502  15.455521 400.497038   0.011964
18786.269531  70.000000 -61.150000   4.000000 -83.038614 337.539082  17.249328 453.563211   0.005801
20871.019531  50.000000 -59.750006   1.000000 -89.945018   5.123165  16.980637 502.676962   0.002430
24111.328125  30.000000 -54.549994   0.100000 -98.519591 356.132368  13.833906 595.927588   0.000000
