        HGHT       PRES       TEMP       RELH       DWPT       DRCT       SKNT       THTA       MIXR
 2767.456055 737.700000   0.742029  67.598990  -4.575434  47.538542   2.793211 298.789805   3.697622
 3171.551270 700.000000  10.149988  19.000000 -12.494562 125.901770   3.911886 313.724558   2.099776
 3783.376221 650.000000   7.050012  16.000000 -17.135264 145.137804   6.325771 316.938450   1.542367
 4435.498535 600.000000   2.850000  12.000000 -23.845251 136.573664  10.010977 319.416851   0.934190
 5131.978516 550.000000  -2.350012  11.000000 -28.923282 127.060408   9.354580 321.295698   0.640719
 5879.835938 500.000000  -7.949988  11.000000 -33.366763 122.072570   8.786557 323.346466   0.461016
 6688.300781 450.000000 -14.049994  13.000000 -36.582885 126.004655  10.813761 325.573197   0.372444
 7570.224609 400.000000 -20.750006  14.000000 -41.343439 131.081751  10.058204 328.019893   0.256661
 8541.266602 350.000000 -28.750006  20.000000 -44.728461 116.003346   8.868135 329.987683   0.204038
 9623.190430 300.000000 -38.049994  31.000000 -48.937072  95.806727  11.528756 331.738565   0.148961
10851.912109 250.000000 -47.549994  45.000000 -54.428698 152.818890   8.085731 335.373130   0.093997
11540.252930 225.000000 -52.150000  76.000000 -54.458155 173.500654  15.456940 338.585280   0.104047
12293.723633 200.000000 -56.750006  86.000000 -57.964939 182.105514  26.456262 342.896195   0.076122
13133.349609 175.000000 -59.849997  55.000000 -64.420571 179.352618  34.410998 351.141354   0.037708
14089.459961 150.000000 -62.450003  34.000000 -70.312610 161.690698  28.032520 362.495341   0.019425
15201.969727 125.000000 -66.950003  31.000000 -75.045294 162.923102  28.532264 373.742418   0.011597
16532.500000 100.000000 -71.750006  42.000000 -77.497740 163.463465  29.505598 389.098407   0.009939
18625.669922  70.000000 -72.150000  27.000000 -80.640664 128.256325  17.676135 430.029271   0.008609
20630.359375  50.000000 -66.849997   5.000000 -86.194134 119.785459  17.023325 485.952492   0.004741
23793.369141  30.000000 -57.250006   0.122554 -99.134985 152.154258  10.113453 588.567058   0.000680
