        HGHT       PRES       TEMP       RELH       DWPT       DRCT       SKNT       THTA       MIXR
 2598.239990 750.100000   6.764001  14.846891 -18.255047  31.621460   5.227950 303.906887   1.215476
 2603.046143 750.000000  12.950006  18.000000 -10.858017 159.646771   1.285541 310.634970   2.234896
 3177.943359 700.000000   9.249994  23.000000 -10.859796 141.188616   1.147619 312.727911   2.393976
 3786.956055 650.000000   5.249994  27.000000 -12.274451  32.938692   1.644606 314.902422   2.301396
 4435.587402 600.000000   1.450006  25.000000 -16.487201 348.597507   2.359939 317.796628   1.763677
 5129.883789 550.000000  -2.949988  22.000000 -21.742633  59.656751   1.847107 320.583846   1.226816
 5876.718750 500.000000  -8.350012  23.000000 -25.849985 130.309961   6.220344 322.858734   0.935161
 6684.207520 450.000000 -14.650000  37.000000 -26.155056 138.167577  10.697106 324.819257   1.010211
 7563.809570 400.000000 -21.549994  36.000000 -32.670753 150.554571  13.840679 326.980226   0.615955
 8532.789062 350.000000 -28.950003  24.000000 -43.213265 127.806529  14.270867 329.717648   0.240329
 9616.806641 300.000000 -36.650000  14.000000 -54.522103 137.254575  17.471142 333.714030   0.077508
10858.573242 250.000000 -44.250006  14.000000 -60.883605 135.000000  14.296002 340.278836   0.042066
11558.652344 225.000000 -48.150000  15.000000 -63.646589 107.248454  15.734744 344.713521   0.032540
12325.492188 200.000000 -52.950003  21.000000 -65.271687 100.929488  14.354370 348.917482   0.029426
13178.389648 175.000000 -56.849997  27.000000 -66.883715  85.634742  12.770246 356.080051   0.026976
14142.290039 150.000000 -62.150000  41.000000 -68.718983  65.035698  11.515128 363.011476   0.024364
15260.929688 125.000000 -64.750006  42.000000 -70.968370  81.096524   7.536329 377.729965   0.021209
16615.060547 100.000000 -66.150000  15.000000 -79.011701  47.726310   4.623942 399.917442   0.007830
18794.238281  70.000000 -62.650000   5.000000 -82.874065   7.111481  10.206759 450.354038   0.005963
20885.679688  50.000000 -59.250006   2.000000 -85.685404 347.916266  14.115153 503.854743   0.005179
24110.050781  30.000000 -55.250006   0.100000 -98.931571   4.953257   8.780792 594.019278   0.000000
