        HGHT       PRES       TEMP       RELH       DWPT       DRCT       SKNT       THTA       MIXR
 1464.031982 860.900000  21.802026  21.827139  -0.988867  43.870372   4.880834 307.861166   4.145111
 1578.524414 850.000000  28.649988  13.000000  -2.495296 301.709198   3.587615 316.158895   3.758166
 1841.920044 825.000000  26.550012  14.000000  -3.150903 286.049004   4.430017 316.651049   3.687089
 2111.603027 800.000000  24.550012  16.000000  -2.951266 279.926246   5.525920 317.318298   3.859496
 2387.926025 775.000000  22.450006  18.000000  -3.069280 280.721968   6.687473 317.953897   3.949005
 2671.200195 750.000000  20.149988  21.000000  -2.891193 284.544471   7.973197 318.452398   4.135323
 3259.953369 700.000000  15.149988  28.000000  -3.258755 289.375240  10.488993 319.261526   4.310461
 3880.939453 650.000000   9.550012  37.000000  -4.446746 300.018367  11.113509 319.766238   4.244523
 4538.415527 600.000000   4.050012  44.000000  -7.128854 299.972890  12.724189 320.805635   3.744823
 5238.312988 550.000000  -1.850012  45.000000 -12.233754 291.197695  17.472970 321.888933   2.728818
 5988.431641 500.000000  -6.650000  30.000000 -21.386599 287.110725  20.482685 324.931483   1.391985
 6803.748047 450.000000 -11.549994   8.000000 -39.369031 294.236872  22.257195 328.714583   0.280491
 7693.356934 400.000000 -18.650000   6.000000 -47.490292 300.141385  20.905911 330.749068   0.131718
 8674.224609 350.000000 -25.549994   6.000000 -52.751922 284.995079  11.270171 334.308324   0.082130
 9774.431641 300.000000 -32.650000   6.000000 -58.209809 255.963757  11.221444 339.358242   0.049286
11034.531250 250.000000 -41.450003   9.000000 -61.983688 259.045937  12.276479 344.441273   0.036476
11741.420898 225.000000 -46.250006  13.000000 -63.126667 271.762391  12.641980 347.624425   0.034867
12514.580078 200.000000 -51.549994  21.000000 -64.047805 284.858614   9.855141 351.135864   0.034695
13371.530273 175.000000 -55.950003  28.000000 -65.811781 299.357753  10.706129 357.561650   0.031247
14339.580078 150.000000 -61.250006  27.000000 -70.827483 301.005938  13.585778 364.559856   0.018039
15453.398438 125.000000 -67.450003  34.000000 -74.892404 308.846897  14.876567 372.836156   0.011869
16783.839844 100.000000 -71.049994  41.000000 -76.999368 341.515955  14.348195 390.450809   0.010741
18896.339844  70.000000 -68.849997  13.000000 -82.205732 355.025681  10.537287 437.089460   0.006662
20942.679688  50.000000 -61.450003   2.000000 -87.301058 356.836872   7.398472 498.672513   0.003906
24155.060547  30.000000 -55.049994   0.100000 -98.813784  17.122209  25.223532 594.564533   0.000000
