        HGHT       PRES       TEMP       RELH        DWPT       DRCT       SKNT       THTA       MIXR
 2598.239990 751.400000   3.874994  27.050184  -13.439861  37.184707   4.245760 300.621331   1.810271
 2619.417969 750.000000  12.850000  15.000000  -13.212195  62.737672   4.286377 310.526388   1.849120
 3195.790283 700.000000  11.149988  14.000000  -15.422664  91.812553   3.073058 314.831952   1.652592
 3810.197266 650.000000   8.649988  11.000000  -20.261061 136.325373   5.348686 318.748207   1.181770
 4465.926270 600.000000   4.149988  10.000000  -24.859240 130.610768  12.752596 320.921337   0.853128
 5166.479004 550.000000  -0.549994  10.000000  -28.529309 142.191409  14.714167 323.431364   0.664818
 5920.141113 500.000000  -5.850012  11.000000  -31.697792 143.387997  15.548270 325.906872   0.541840
 6735.181152 450.000000 -11.949988  12.000000  -35.684378 146.212821  15.905497 328.211969   0.407552
 7624.090820 400.000000 -18.650000  13.000000  -40.329826 162.734191  15.064432 330.749068   0.285459
 8603.579102 350.000000 -26.549994  16.000000  -44.913395 168.929797  18.223898 332.958129   0.200003
 9695.156250 300.000000 -35.849997  25.000000  -48.878861 170.537678  17.737336 334.842877   0.149973
10935.217773 250.000000 -45.650000  33.000000  -55.251265 150.554571  13.840679 338.197629   0.085111
11627.881836 225.000000 -51.349997  46.000000  -57.792455 171.069410  13.774993 339.810933   0.069153
12384.141602 200.000000 -56.049994  52.000000  -61.243761 192.030596  12.124701 344.005398   0.050160
13224.009766 175.000000 -60.349997  57.000000  -64.630735 167.988521  18.682638 350.318238   0.036658
14171.309570 150.000000 -66.549994  77.000000  -68.431912 182.602562  21.406080 355.441579   0.025366
15267.079102 125.000000 -69.049994  59.000000  -72.703754 160.773256  24.911919 369.936134   0.016461
16587.240234 100.000000 -72.450003  50.000000  -77.036515 163.674281  28.562045 387.746035   0.010680
18684.630859  70.000000 -70.849997  19.000000  -81.634868 150.016629  21.433656 432.810561   0.007319
20697.740234  50.000000 -66.450003   4.000000  -87.154681 143.445103  19.094256 486.894702   0.004008
23876.990234  30.000000 -57.349997   0.100000 -100.171776 176.905942  14.406601 588.294472   0.000000
