        HGHT       PRES       TEMP       RELH        DWPT       DRCT       SKNT       THTA       MIXR
 2713.823975 740.100000  17.874994  27.654588   -1.080005 201.037512   0.812304 317.185433   4.792862
 3146.794922 700.000000   9.050012  35.000000   -5.626864  50.262395   4.196519 312.506452   3.601178
 3755.558350 650.000000   5.249994  25.000000  -13.227883  83.321725   6.185007 314.902422   2.130338
 4404.424316 600.000000   2.050012  18.000000  -19.861017 116.600300  28.263654 318.491020   1.324605
 5100.589844 550.000000  -2.449988  23.000000  -20.806213 125.010936  38.593160 321.177081   1.331283
 5848.839844 500.000000  -7.650000  25.000000  -24.322717 123.487463  44.217492 323.712227   1.073446
 6660.794922 450.000000 -12.150000  19.000000  -31.131905 126.869898  52.488001 327.960642   0.635239
 7552.257324 400.000000 -17.349997  13.000000  -39.269404 122.929251  64.155937 332.438556   0.318669
 8537.771484 350.000000 -25.049994  17.000000  -43.093084 125.193908  67.796844 334.983422   0.243521
 9637.717773 300.000000 -33.250006  29.000000  -45.249981 129.964915  62.649304 338.511602   0.224804
10893.238281 250.000000 -42.349997  46.000000  -49.400234 138.163885  54.793218 343.103357   0.169525
11597.719727 225.000000 -47.150000  57.000000  -52.063082 142.765165  54.938555 346.245581   0.138354
12367.452148 200.000000 -52.549994  72.000000  -55.294868 142.659872  60.639289 349.551316   0.105791
13217.660156 175.000000 -58.450003  84.000000  -59.827671 143.255674  56.768823 353.446069   0.068763
14170.500000 150.000000 -65.750006  96.000000  -66.049298 137.206286  49.275258 356.817905   0.035283
15260.978516 125.000000 -70.750006  90.000000  -71.477681 139.350654  40.227198 366.854822   0.019698
16567.939453 100.000000 -74.750006  90.000000  -75.444368 153.070548  35.541104 383.302502   0.013644
18677.998047  70.000000 -65.750006   8.000000  -82.542841 156.644435  25.155939 443.721732   0.006300
20734.869141  50.000000 -63.650000   3.000000  -86.638438 173.316135  10.021390 493.490283   0.004388
23913.640625  30.000000 -57.250006   0.100000 -100.112577 199.025605   5.963361 588.567058   0.000000
