        HGHT       PRES       TEMP       RELH       DWPT       DRCT       SKNT       THTA       MIXR
 2713.823975 742.700000  15.918024   7.400652 -19.317201  26.816347   1.982213 314.736720   1.122258
 3178.813232 700.000000   8.149988   9.000000 -22.947404  29.581282   7.600245 311.509771   0.867470
 3783.699951 650.000000   3.350000  10.000000 -25.482769  30.526744   8.305068 312.753311   0.744258
 4427.645508 600.000000  -0.250006  10.000000 -28.294568  15.443118   8.833657 315.829191   0.622831
 5117.569824 550.000000  -4.549994  14.000000 -28.094406  15.255118  11.304155 318.685489   0.691985
 5860.384766 500.000000  -9.750006  15.000000 -31.609730  18.853159  16.844510 321.151784   0.546242
 6662.711426 450.000000 -16.449988  19.000000 -34.759711  17.140349  21.767592 322.557475   0.446518
 7534.129395 400.000000 -24.450003  26.000000 -38.518956  16.587339  19.067062 323.211364   0.344009
 8489.653320 350.000000 -32.849997  27.000000 -45.547751  18.208485  15.553215 324.451895   0.186498
 9553.650391 300.000000 -41.650000  29.000000 -52.733972  34.472214  15.799111 326.658766   0.095909
10766.251953 250.000000 -49.750006  40.000000 -57.430398  27.525226  15.564145 332.102630   0.065112
11449.487305 225.000000 -53.450003  48.000000 -59.419799  14.215853  15.040581 336.593597   0.056341
12200.080078 200.000000 -57.150000  57.000000 -61.580131   6.766175  11.550044 342.262385   0.048016
13039.910156 175.000000 -59.950003  59.000000 -63.991335  16.699243   7.915423 350.976721   0.039938
13993.799805 150.000000 -63.250006  58.000000 -67.272065 349.966879   2.566448 361.118989   0.029821
15108.870117 125.000000 -65.250006  32.000000 -73.285124 198.029561  10.426366 376.823703   0.015104
16463.830078 100.000000 -65.849997  19.000000 -77.249285 200.674424  11.012379 400.497038   0.010332
18621.798828  70.000000 -66.250006   9.000000 -82.244287 154.505003  12.103925 442.652008   0.006620
20670.929688  50.000000 -63.849997   3.000000 -86.790502 152.887554  10.919952 493.019178   0.004273
23846.740234  30.000000 -58.549994   0.900000 -89.689760 182.403597  15.760267 585.023149   0.004244
