        HGHT       PRES       TEMP       RELH       DWPT       DRCT       SKNT       THTA       MIXR
 1491.680054 854.600000  31.607019  12.029324  -1.244556 195.511092   9.159356 318.764193   4.101756
 1523.329712 850.000000  29.950006  15.000000   0.489728 185.401001  10.739681 317.520765   4.681735
 1783.016113 825.000000  28.249994  15.000000  -0.864167 185.391256  10.759035 318.447182   4.369244
 2051.683105 800.000000  26.550012  15.000000  -2.219859 185.391256  10.759035 319.450097   4.076439
 2329.312012 775.000000  23.550012  16.000000  -3.756645 180.000000  11.975040 319.137087   3.750933
 2613.373047 750.000000  20.749994  18.000000  -4.459128 171.589538  12.360691 319.103859   3.675670
 3203.042236 700.000000  15.649988  23.000000  -5.450048 153.583962  13.371159 319.815222   3.652378
 3825.150391 650.000000  10.450006  28.000000  -7.317877 138.915474  15.500606 320.784234   3.407015
 4484.300781 600.000000   4.950006  27.000000 -12.533621 129.298845  16.605015 321.847204   2.442199
 5186.054199 550.000000  -0.449988   9.000000 -29.578511 137.328586  16.577807 323.550018   0.602652
 5938.976074 500.000000  -6.250006  13.000000 -30.263112 153.614747  16.622689 325.419177   0.621185
 6753.278809 450.000000 -11.850012  18.000000 -31.446253 137.762801  20.533131 328.337593   0.616457
 7643.059570 400.000000 -18.549994  17.000000 -37.637659 129.225674  12.296472 330.879036   0.376537
 8622.398438 350.000000 -26.349997  13.000000 -46.635173 106.144339   7.690480 333.228164   0.165488
 9721.409180 300.000000 -32.849997   8.000000 -56.043039 101.421187  19.634399 339.076036   0.064456
10979.457031 250.000000 -41.849997  11.000000 -60.761849  93.399714  19.669016 343.846649   0.042738
11685.851562 225.000000 -46.349997  16.000000 -61.627561 101.976132  13.115878 347.471233   0.042441
12458.580078 200.000000 -51.549994  23.000000 -63.364223 121.429565  12.302618 351.135864   0.037999
13314.950195 175.000000 -56.650000  29.000000 -66.184000 108.434949  12.294936 356.409293   0.029698
14278.219727 150.000000 -62.650000  36.000000 -70.097059  87.563352   9.145068 362.151260   0.020035
15388.370117 125.000000 -67.750006  38.000000 -74.431933 101.572928   5.814120 372.292393   0.012723
16716.759766 100.000000 -70.849997  39.000000 -77.135234 110.095232   8.487068 390.837196   0.010517
18826.808594  70.000000 -69.349997  16.000000 -81.373896  57.746455  15.700132 436.019735   0.007640
20868.869141  50.000000 -62.750006   2.000000 -88.258386  21.711548  11.508431 495.610275   0.003295
24071.699219  30.000000 -54.750006   0.100000 -98.637232  14.622994  22.099860 595.382332   0.000000
