        HGHT       PRES       TEMP       RELH       DWPT       DRCT       SKNT       THTA       MIXR
 2767.456055 738.300000   0.880029  78.101129  -2.507397 109.698621   1.672518 298.870849   4.315544
 3177.864014 700.000000   9.950006  17.000000 -14.031203 167.634627   5.174437 313.503100   1.853036
 3788.295898 650.000000   5.950006  19.000000 -15.982259 174.275189   7.795440 315.694217   1.698408
 4438.084961 600.000000   1.749994  16.000000 -21.468931 148.315400  13.250097 318.143806   1.152137
 5131.988770 550.000000  -3.449988  12.000000 -28.865920 127.602973  15.802126 319.990612   0.644098
 5877.173340 500.000000  -8.850012  12.000000 -33.191711 125.097719  12.949345 322.249106   0.468902
 6683.515137 450.000000 -14.650000  10.000000 -39.638655 139.573922  11.721563 324.819257   0.272707
 7564.055176 400.000000 -20.750006  12.000000 -42.797954 155.339648  14.909466 328.019893   0.219982
 8536.594727 350.000000 -28.049994  15.000000 -46.753202 165.815707  18.246696 330.932836   0.163311
 9622.369141 300.000000 -37.150000  23.000000 -50.744076 163.651828  15.194322 333.008504   0.121084
10853.842773 250.000000 -47.650000  56.000000 -52.688309 139.205357  18.745242 335.224463   0.115674
11539.702148 225.000000 -53.849997  92.000000 -54.544718 161.241351  10.881192 335.980783   0.102960
12287.987305 200.000000 -57.849997  52.000000 -62.945656 154.768645  15.687924 341.153206   0.040151
13124.320312 175.000000 -61.150000  48.000000 -66.651956 165.399442  25.372068 349.001247   0.027847
14071.900391 150.000000 -64.750006  56.000000 -68.954837 166.396563  36.201979 358.538339   0.023566
15177.549805 125.000000 -68.349997  47.000000 -73.572651 160.463347  33.251654 371.204895   0.014471
16504.179688 100.000000 -69.950003  36.000000 -76.818245 146.214298  32.301636 392.575956   0.011047
18625.478516  70.000000 -71.349997  23.000000 -80.909208 128.760008  19.096582 431.740837   0.008242
20616.960938  50.000000 -68.549994   2.000000 -92.553410 135.310543  20.289624 481.948043   0.001497
23763.000000  30.000000 -57.049994   0.100000 -99.994206 149.755640  13.276766 589.112313   0.000000
