        HGHT       PRES       TEMP       RELH       DWPT       DRCT       SKNT       THTA       MIXR
 2598.239990 749.200000  18.665002  16.889783  -6.997551 196.238842   6.256570 316.936789   3.030154
 3174.566162 700.000000  13.450006  14.000000 -13.579998 137.928859   2.959289 317.378977   1.923260
 3790.698975 650.000000   7.749994  19.000000 -14.486268  92.970231   4.126824 317.730210   1.922490
 4442.498535 600.000000   1.850000  24.000000 -16.633650  64.141475   7.755488 318.259544   1.742257
 5135.783691 550.000000  -4.150000  29.000000 -19.586072  62.009976   8.740004 319.160069   1.479055
 5878.750488 500.000000  -9.449988  25.000000 -25.877670  50.175711   7.618942 321.517583   0.932718
 6684.315430 450.000000 -14.850012  18.000000 -33.962158  96.654425   2.348622 324.567931   0.483028
 7563.892090 400.000000 -21.450003  19.000000 -38.992120 128.290165   0.941185 327.110175   0.327786
 8533.604492 350.000000 -28.450003   5.000000 -56.470430  78.906276   6.061914 330.392746   0.052443
 9621.454102 300.000000 -35.450003   8.000000 -58.103921  97.907163   7.065577 335.407290   0.049934
10868.752930 250.000000 -43.650000  16.000000 -59.332998  91.357466   8.205983 341.170795   0.051296
11569.848633 225.000000 -47.750006  15.000000 -63.307708 107.612578   8.994672 345.326335   0.034038
12338.683594 200.000000 -52.349997  13.000000 -68.239223 112.016172  13.483136 349.868221   0.019554
13195.030273 175.000000 -55.750006  16.000000 -69.654342 113.796795  16.380908 357.890892   0.018297
14165.219727 150.000000 -60.950003  26.000000 -70.820212 131.748752  12.845839 365.075991   0.018058
15282.589844 125.000000 -65.950003  39.000000 -72.590984  97.495858   4.470524 375.554942   0.016737
16628.039062 100.000000 -67.349997  21.000000 -77.928192 107.227489   2.625552 397.599086   0.009292
18793.669922  70.000000 -63.750006   6.000000 -82.653447 356.397244   5.259194 448.000631   0.006186
20875.869141  50.000000 -59.549994   2.000000 -85.905384 343.610459  10.334330 503.148103   0.004986
24105.099609  30.000000 -54.650000   0.100000 -98.578404 347.551343  10.551265 595.654960   0.000000
