        HGHT       PRES       TEMP       RELH       DWPT       DRCT       SKNT       THTA       MIXR
 2767.456055 737.800000   9.526025  35.336378  -5.078242   6.911227   0.646216 308.360344   3.561640
 3167.648682 700.000000   6.350000  32.000000  -9.173766  14.264513   2.366895 309.516476   2.735063
 3769.248047 650.000000   1.149988  42.000000 -10.363707   3.077455   1.810531 310.264844   2.680706
 4406.406738 600.000000  -4.449988  61.000000 -10.846716 222.929969   1.141676 310.968521   2.794122
 5084.750977 550.000000  -9.850012  81.000000 -12.496342 317.436650   2.586616 312.397184   2.669580
 5812.975098 500.000000 -15.049994  87.000000 -16.728545 349.875328   4.423444 314.689747   2.072121
 6602.299316 450.000000 -19.750006 100.000000 -19.750006 345.907363   4.790333 318.410823   1.780878
 7466.281738 400.000000 -26.150000 100.000000 -26.150000 341.691532   5.569619 321.002042   1.136128
 8417.172852 350.000000 -33.950003 100.000000 -33.950003 344.931512  10.468760 322.966673   0.620937
 9476.157227 300.000000 -42.849997  96.000000 -43.231477 345.203239  10.656596 324.965506   0.279572
10685.849609 250.000000 -48.849997  33.000000 -58.149934  29.875994  10.537125 333.440568   0.059525
11375.153320 225.000000 -50.349997  21.000000 -62.999702  60.124006  10.537125 341.342993   0.035448
12138.452148 200.000000 -53.250006  24.000000 -64.545582 143.130104   2.916000 348.442113   0.032454
12990.940430 175.000000 -56.250006  22.000000 -67.828107 160.709955  12.357786 357.067775   0.023665
13964.070312 150.000000 -58.849997  21.000000 -70.442287 164.167613  13.538393 368.688912   0.019069
15098.559570 125.000000 -62.450003  26.000000 -72.162670 195.273764  15.718404 381.898775   0.017826
16466.189453 100.000000 -64.650000  18.000000 -76.550039 212.908638  16.208916 402.815394   0.011516
18629.449219  70.000000 -66.049994   9.000000 -82.078830 201.124719   9.169830 443.079924   0.006803
20674.679688  50.000000 -64.650000   4.000000 -85.753528 144.090279   6.960497 491.134721   0.005118
23821.300781  30.000000 -60.049994   1.200000 -89.152012 182.635564  12.260169 580.933984   0.004678
