        HGHT       PRES       TEMP       RELH       DWPT       DRCT       SKNT       THTA       MIXR
  784.096008 924.400000  21.531030   9.533230 -12.025423 182.178680   3.579548 301.381255   1.651724
 1018.449829 900.000000  18.350000  14.000000  -9.665937  91.397181   4.783662 300.417482   2.046754
 1258.549805 875.000000  17.050012  14.000000 -10.702820  66.388622   3.543097 301.497089   1.939188
 1504.495117 850.000000  15.649988  15.000000 -10.955868  84.494522   1.620998 302.540387   1.956318
 1756.578003 825.000000  14.450006  16.000000 -11.114121 121.607503   1.780432 303.866667   1.990276
 2015.312012 800.000000  13.149988  16.000000 -12.169418 127.476180   2.204619 305.167018   1.885866
 2280.989990 775.000000  11.749994  16.000000 -13.307054 115.480719   2.756438 306.444727   1.775368
 2553.905029 750.000000   9.950006  17.000000 -14.031203 117.943035   2.530637 307.377701   1.729156
 3122.962158 700.000000   6.749994  20.000000 -14.694072 184.827713   5.774727 309.959427   1.754362
 3727.439209 650.000000   3.649988  22.000000 -16.147140 188.780438  12.353092 313.092631   1.674876
 4371.589844 600.000000  -0.650000  25.000000 -18.291603 183.390337  16.436125 315.366275   1.514534
 5060.299316 550.000000  -5.250006  27.000000 -21.372147 174.361059  17.014576 317.854947   1.266942
 5801.004883 500.000000 -10.350012  23.000000 -27.564022 178.274410  20.012836 320.420224   0.799144
 6602.898926 450.000000 -16.150000  19.000000 -34.506257 181.589879  24.523280 322.934426   0.457832
 7477.693359 400.000000 -22.849997  26.000000 -37.118871 187.115235  28.250033 325.290738   0.396702
 8440.798828 350.000000 -30.650000  40.000000 -39.886341 191.870265  31.187722 327.422321   0.341322
 9516.450195 300.000000 -39.049994  55.000000 -44.700910 195.400170  33.673875 330.327512   0.238588
10739.173828 250.000000 -48.650000  84.000000 -50.177162 195.847705  31.322540 333.737880   0.155020
11423.871094 225.000000 -53.450003  69.000000 -56.515790 190.967872  25.544189 336.593597   0.080994
12173.280273 200.000000 -57.849997  47.000000 -63.708527 192.528807  23.299632 341.153206   0.036291
13009.259766 175.000000 -60.049994  37.000000 -67.511603 193.221280  33.149049 350.812113   0.024727
13964.139648 150.000000 -62.950003  40.000000 -69.635740 188.209902  39.478999 361.635124   0.021398
15076.549805 125.000000 -66.750006  37.000000 -73.685794 171.884137  33.185970 374.104917   0.014229
16421.800781 100.000000 -67.349997  23.000000 -77.346647 175.322582  23.601001 397.599086   0.010177
18562.218750  70.000000 -68.150000   8.000000 -84.512423 157.372080  21.271847 438.587068   0.004523
20597.169922  50.000000 -65.049994   3.000000 -87.703814 155.078229  21.221678 490.192511   0.003637
23754.000000  30.000000 -59.549994   1.000000 -89.805478 172.405357  14.709029 582.297039   0.004155
