height(km) press(hPa) W(M/S) T(C) T-TE(C) QV(g/kg) SAT(g/kg) QC(g/kg) QH(g/kg) QI(g/kg) "Buoy(1e-2 m/s2)" radius(m) dwdt_entr(unitless) plumeT(K) envT(K)
0.0000 850.3199 34.0056 29.7834 0.2534 5.1534 32.5331 0.0000 0.0000 0.0000 0.1727 2.2560 -0.0619 303.0834 302.8299
0.0500 845.2046 33.8381 29.0013 0.2582 5.1538 31.2270 0.0000 0.0000 0.0000 0.1727 2.2615 -0.0619 302.3013 302.0431
0.1500 835.5521 33.6412 28.0294 -0.0959 5.1535 29.7927 0.0000 0.0000 0.0000 -0.5421 2.2683 -0.0630 301.3294 301.4253
0.2500 825.8997 33.4256 27.0599 -0.4477 5.1525 28.4231 0.0000 0.0000 0.0000 -1.1625 2.2750 -0.0620 300.3599 300.8076
0.3500 816.5411 33.1961 26.0920 -0.7151 5.1507 27.1037 0.0000 0.0000 0.0000 -1.6791 2.2818 -0.0611 299.3920 300.1071
0.4500 807.2126 32.9520 25.1259 -0.9723 5.1480 25.8419 0.0000 0.0000 0.0000 -2.1600 2.2886 -0.0601 298.4259 299.3982
0.5500 797.9531 32.6969 24.1613 -1.2003 5.1445 24.6340 0.0000 0.0000 0.0000 -2.5213 2.2954 -0.0594 297.4613 298.6617
0.6500 788.9279 32.4312 23.1978 -1.3335 5.1404 23.4718 0.0000 0.0000 0.0000 -2.7888 2.3025 -0.0600 296.4978 297.8314
0.7500 779.9026 32.1504 22.2359 -1.4652 5.1356 22.3615 0.0000 0.0000 0.0000 -2.9879 2.3099 -0.0615 295.5359 297.0010
0.8500 770.9789 31.8599 21.2747 -1.5249 5.1305 21.2971 0.0000 0.0000 0.0000 -3.0376 2.3176 -0.0625 294.5747 296.0996
0.9500 762.1760 31.5670 20.3134 -1.5003 5.1255 20.2751 0.0000 0.0000 0.0000 -3.0025 2.3253 -0.0625 293.6134 295.1137
1.0500 753.3733 31.2731 19.3522 -1.4756 5.1205 19.2976 0.0000 0.0000 0.0000 -2.9981 2.3332 -0.0622 292.6522 294.1278
1.1500 744.7640 30.9764 18.3911 -1.4830 5.1155 18.3578 0.0000 0.0000 0.0000 -3.0477 2.3412 -0.0616 291.6910 293.1740
