   2153     795    27.1    14.5    -2.3   215.0     4.1   320.6     4.1
   2379     775    22.4    17.0    -3.9   281.8     9.1   317.8     3.7
   2662     750    20.0    18.0    -5.1   286.0     9.6   318.2     3.5
   3250     700    15.1    23.0    -6.0   291.0    10.8   319.2     3.5
   3871     650     9.6    30.0    -7.1   299.7    10.8   319.9     3.5
   4528     600     3.9    39.0    -8.9   299.1     8.9   320.6     3.3
   5228     550    -1.8    42.0   -13.0   286.1     7.6   322.0     2.6
   5979     500    -6.2    30.0   -20.9   276.6     9.5   325.5     1.4
   6796     450   -11.2     9.0   -37.9   277.3    11.1   329.2     0.3
   7687     400   -18.0     3.0   -53.1   275.6     8.2   331.5     0.1
   8669     350   -26.0     6.0   -53.1   281.9     3.9   333.8     0.1
   9766     300   -33.5     8.0   -56.5   293.5     6.8   338.2     0.1
  11026     250   -41.0    10.0   -60.8   282.7     9.1   345.0     0.0
  11734     225   -46.3    15.0   -62.0   278.9     7.8   347.6     0.0
  12507     200   -51.3    23.0   -63.1   280.6     6.0   351.6     0.0
  13364     175   -56.1    26.0   -66.5   304.9     9.3   357.2     0.0
  14333     150   -61.3    26.0   -71.1   309.0     9.4   364.6     0.0
  15444     125   -68.3    41.0   -74.4   315.5     8.7   371.4     0.0
  16773     100   -70.8    40.0   -77.0   335.0     5.2   390.8     0.0
  18887      70   -68.3    12.0   -82.3   323.1     5.3   438.2     0.0
  20940      50   -60.0     1.0   -90.2   349.5     6.6   502.0     0.0
  24149      30   -56.3     1.0   -87.6   357.8     8.6   591.0     0.0
