height(km) press(hPa) W(M/S) T(C) T-TE(C) QV(g/kg) SAT(g/kg) QC(g/kg) QH(g/kg) QI(g/kg) "Buoy(1e-2 m/s2)" radius(m) dwdt_entr(unitless) plumeT(K) envT(K)
0.0000 853.9150 25.4759 31.7662 0.3502 4.3304 36.4888 0.0000 0.0000 0.0000 2.1737 0.9224 -0.0971 305.0662 304.7160
0.0500 848.2039 25.1917 30.9582 1.2375 4.3376 35.0104 0.0000 0.0000 0.0000 2.1737 0.9289 -0.0971 304.2582 303.0207
0.1500 838.5885 24.8572 29.9737 0.9453 4.3441 33.3940 0.0000 0.0000 0.0000 1.6104 0.9369 -0.1003 303.2737 302.3284
0.2500 828.9731 24.5087 28.9942 0.6581 4.3482 31.8561 0.0000 0.0000 0.0000 0.9899 0.9448 -0.0965 302.2942 301.6361
0.3500 819.5261 24.1437 28.0206 0.3209 4.3502 30.3875 0.0000 0.0000 0.0000 0.2691 0.9527 -0.0928 301.3206 300.9997
0.4500 810.1978 23.7504 27.0533 -0.0493 4.3505 28.9880 0.0000 0.0000 0.0000 -0.4874 0.9606 -0.0892 300.3533 300.4026
0.5500 800.8694 23.3466 26.0927 -0.4130 4.3491 27.6587 0.0000 0.0000 0.0000 -0.7616 0.9685 -0.0858 299.3926 299.8056
0.6500 791.8453 22.9566 25.1306 -0.3408 4.3456 26.3724 0.0000 0.0000 0.0000 -0.5105 0.9767 -0.0839 298.4306 298.7714
0.7500 782.8525 22.5742 24.1667 -0.2256 4.3400 25.1367 0.0000 0.0000 0.0000 -0.2241 0.9853 -0.0839 297.4667 297.6923
0.8500 773.8839 22.1945 23.2009 -0.1196 4.3321 23.9502 0.0000 0.0000 0.0000 -0.0220 0.9942 -0.0838 296.5009 296.6205
0.9500 765.0811 21.8195 22.2340 -0.0654 4.3238 22.8079 0.0000 0.0000 0.0000 0.1084 1.0032 -0.0822 295.5340 295.5994
1.0500 756.2782 21.4565 21.2659 -0.0124 4.3148 21.7134 0.0000 0.0000 0.0000 0.1868 1.0122 -0.0796 294.5659 294.5783
1.1500 747.5695 21.0960 20.2975 -0.0046 4.3054 20.6634 0.0000 0.0000 0.0000 0.0824 1.0214 -0.0772 293.5974 293.6021
1.2500 739.0949 20.7303 19.3308 -0.1069 4.2963 19.6552 0.0000 0.0000 0.0000 -0.1493 1.0306 -0.0746 292.6308 292.7377
1.3500 730.6204 20.3599 18.3661 -0.2072 4.2874 18.6937 0.0000 0.0000 0.0000 -0.3750 1.0400 -0.0720 291.6660 291.8733
1.4500 722.1459 19.9833 17.4031 -0.3058 4.2784 17.7768 0.0000 0.0000 0.0000 -0.5951 1.0494 -0.0697 290.7031 291.0089
1.5500 713.6712 19.5994 16.4421 -0.4024 4.2692 16.9026 0.0000 0.0000 0.0000 -0.8098 1.0591 -0.0676 289.7421 290.1445
