height(km) press(hPa) W(M/S) T(C) T-TE(C) QV(g/kg) SAT(g/kg) QC(g/kg) QH(g/kg) QI(g/kg) "Buoy(1e-2 m/s2)" radius(m) dwdt_entr(unitless) plumeT(K) envT(K)
0.0000 853.9150 26.4625 31.7415 0.3255 4.3290 36.4351 0.0000 0.0000 0.0000 2.1301 1.0705 -0.0875 305.0415 304.7160
0.0500 848.2039 26.2242 30.9377 1.2171 4.3350 34.9675 0.0000 0.0000 0.0000 2.1301 1.0768 -0.0875 304.2377 303.0207
0.1500 838.5885 25.9388 29.9548 0.9265 4.3406 33.3560 0.0000 0.0000 0.0000 1.5691 1.0845 -0.0909 303.2548 302.3284
0.2500 828.9731 25.6378 28.9763 0.6402 4.3441 31.8214 0.0000 0.0000 0.0000 0.9492 1.0922 -0.0881 302.2763 301.6361
0.3500 819.5261 25.3187 28.0026 0.3029 4.3458 30.3542 0.0000 0.0000 0.0000 0.2273 1.0998 -0.0852 301.3026 300.9997
0.4500 810.1978 24.9709 27.0344 -0.0682 4.3461 28.9544 0.0000 0.0000 0.0000 -0.5323 1.1075 -0.0825 300.3344 300.4026
0.5500 800.8694 24.6108 26.0719 -0.4337 4.3450 27.6233 0.0000 0.0000 0.0000 -0.8102 1.1152 -0.0797 299.3719 299.8056
0.6500 791.8453 24.2620 25.1082 -0.3632 4.3422 26.3359 0.0000 0.0000 0.0000 -0.5622 1.1231 -0.0785 298.4082 298.7714
0.7500 782.8525 23.9197 24.1430 -0.2493 4.3375 25.0997 0.0000 0.0000 0.0000 -0.2779 1.1314 -0.0790 297.4430 297.6923
0.8500 773.8839 23.5792 23.1762 -0.1443 4.3309 23.9132 0.0000 0.0000 0.0000 -0.0774 1.1400 -0.0793 296.4762 296.6205
0.9500 765.0811 23.2417 22.2086 -0.0908 4.3239 22.7714 0.0000 0.0000 0.0000 0.0519 1.1487 -0.0783 295.5086 295.5994
1.0500 756.2782 22.9140 21.2400 -0.0383 4.3163 21.6778 0.0000 0.0000 0.0000 0.1295 1.1575 -0.0763 294.5399 294.5783
1.1500 747.5695 22.5873 20.2711 -0.0310 4.3083 20.6287 0.0000 0.0000 0.0000 0.0243 1.1664 -0.0745 293.5711 293.6021
1.2500 739.0949 22.2542 19.3037 -0.1339 4.3005 19.6211 0.0000 0.0000 0.0000 -0.2090 1.1753 -0.0724 292.6037 292.7377
1.3500 730.6204 21.9152 18.3380 -0.2353 4.2928 18.6599 0.0000 0.0000 0.0000 -0.4369 1.1843 -0.0704 291.6380 291.8733
1.4500 722.1459 21.5691 17.3739 -0.3350 4.2851 17.7431 0.0000 0.0000 0.0000 -0.6596 1.1934 -0.0685 290.6739 291.0089
1.5500 713.6712 21.2150 16.4115 -0.4330 4.2772 16.8689 0.0000 0.0000 0.0000 -0.8771 1.2027 -0.0669 289.7115 290.1445
1.6500 705.1967 20.8515 15.4508 -0.5293 4.2690 16.0352 0.0000 0.0000 0.0000 -1.1092 1.2122 -0.0655 288.7508 289.2801
1.7500 696.8907 20.4749 14.4922 -0.6407 4.2604 15.2370 0.0000 0.0000 0.0000 -1.3862 1.2219 -0.0641 287.7921 288.4329
1.8500 688.8522 20.0823 13.5360 -0.7769 4.2513 14.4712 0.0000 0.0000 0.0000 -1.6884 1.2318 -0.0629 286.8360 287.6129
1.9500 680.8135 19.6728 12.5826 -0.9104 4.2416 13.7425 0.0000 0.0000 0.0000 -1.9847 1.2421 -0.0616 285.8825 286.7930
2.0500 672.7750 19.2453 11.6319 -1.0412 4.2312 13.0491 0.0000 0.0000 0.0000 -2.2750 1.2526 -0.0604 284.9319 285.9730
2.1500 664.7363 18.7989 10.6842 -1.1689 4.2200 12.3897 0.0000 0.0000 0.0000 -2.5591 1.2635 -0.0593 283.9842 285.1531
2.2500 656.6978 18.3328 9.7396 -1.2936 4.2079 11.7627 0.0000 0.0000 0.0000 -2.8299 1.2748 -0.0580 283.0396 284.3332
2.3500 648.7344 17.8475 8.7982 -1.4126 4.1946 11.1653 0.0000 0.0000 0.0000 -3.0560 1.2865 -0.0567 282.0982 283.5108
2.4500 641.1472 17.3482 7.8590 -1.5172 4.1785 10.5904 0.0000 0.0000 0.0000 -3.2477 1.2984 -0.0546 281.1590 282.6762
2.5500 633.5599 16.8377 6.9221 -1.6195 4.1595 10.0437 0.0000 0.0000 0.0000 -3.4392 1.3105 -0.0521 280.2221 281.8416
2.6500 625.9727 16.3145 5.9877 -1.7193 4.1378 9.5239 0.0000 0.0000 0.0000 -3.6302 1.3230 -0.0496 279.2877 281.0070
2.7500 618.3855 15.7769 5.0558 -1.8167 4.1135 9.0297 0.0000 0.0000 0.0000 -3.8202 1.3357 -0.0471 278.3557 280.1724
2.8500 610.7982 15.2235 4.1266 -1.9113 4.0865 8.5602 0.0000 0.0000 0.0000 -4.0088 1.3487 -0.0447 277.4265 279.3378
2.9500 603.2109 14.6511 3.2002 -2.0030 4.0571 8.1142 0.0000 0.0000 0.0000 -4.2161 1.3622 -0.0424 276.5002 278.5032
3.0500 595.8918 14.0552 2.2772 -2.1291 4.0231 7.6874 0.0000 0.0000 0.0000 -4.4596 1.3760 -0.0398 275.5772 277.7063
