height(km) press(hPa) W(M/S) T(C) T-TE(C) QV(g/kg) SAT(g/kg) QC(g/kg) QH(g/kg) QI(g/kg) "Buoy(1e-2 m/s2)" radius(m) dwdt_entr(unitless) plumeT(K) envT(K)
0.0000 859.9971 29.0519 31.8420 0.2932 4.2708 36.3804 0.0000 0.0000 0.0000 5.2146 1.4331 -0.0493 305.1420 304.8488
0.0500 855.3242 29.0387 31.2662 1.6333 4.2703 35.3502 0.0000 0.0000 0.0000 5.2146 1.4357 -0.0493 304.5662 302.9329
0.1500 845.8939 29.0953 30.2639 3.0930 4.2677 33.6745 0.0000 0.0000 0.0000 6.4751 1.4419 -0.0565 303.5638 300.4708
0.2500 836.3519 29.0656 29.2636 2.7417 4.2648 32.0803 0.0000 0.0000 0.0000 5.7257 1.4488 -0.0710 302.5636 299.8219
0.3500 826.8100 28.9825 28.2653 2.3922 4.2615 30.5590 0.0000 0.0000 0.0000 4.8933 1.4564 -0.0785 301.5652 299.1731
0.4500 817.4971 28.8417 27.2702 1.9703 4.2580 29.1011 0.0000 0.0000 0.0000 3.9602 1.4647 -0.0857 300.5702 298.5998
0.5500 808.2379 28.6421 26.2793 1.5350 4.2543 27.7121 0.0000 0.0000 0.0000 3.0359 1.4738 -0.0929 299.5793 298.0443
0.6500 799.0008 28.3850 25.2934 1.1234 4.2504 26.3910 0.0000 0.0000 0.0000 2.3136 1.4837 -0.0997 298.5934 297.4700
0.7500 789.9427 28.0891 24.3112 0.8658 4.2459 25.1271 0.0000 0.0000 0.0000 1.7705 1.4939 -0.1030 297.6112 296.7454
0.8500 780.8848 27.7693 23.3327 0.6119 4.2407 23.9239 0.0000 0.0000 0.0000 1.2828 1.5044 -0.1033 296.6327 296.0208
0.9500 771.9054 27.4309 22.3574 0.4044 4.2347 22.7751 0.0000 0.0000 0.0000 0.9417 1.5152 -0.1032 295.6573 295.2529
1.0500 763.0714 27.0823 21.3838 0.2790 4.2277 21.6747 0.0000 0.0000 0.0000 0.6957 1.5262 -0.1021 294.6838 294.4048
1.1500 754.2374 26.7255 20.4122 0.1554 4.2195 20.6249 0.0000 0.0000 0.0000 0.4334 1.5374 -0.1005 293.7122 293.5568
1.2500 745.5756 26.3587 19.4425 0.0261 4.2108 19.6190 0.0000 0.0000 0.0000 0.1393 1.5487 -0.0990 292.7425 292.7164
1.3500 737.0721 25.9805 18.4749 -0.1082 4.2023 18.6557 0.0000 0.0000 0.0000 -0.1663 1.5604 -0.0975 291.7749 291.8831
1.4500 728.5687 25.5907 17.5094 -0.2403 4.1939 17.7375 0.0000 0.0000 0.0000 -0.4658 1.5722 -0.0960 290.8094 291.0497
1.5500 720.0654 25.1892 16.5462 -0.3702 4.1855 16.8626 0.0000 0.0000 0.0000 -0.7592 1.5843 -0.0945 289.8462 290.2164
1.6500 711.5619 24.7759 15.5852 -0.4979 4.1770 16.0290 0.0000 0.0000 0.0000 -1.0468 1.5967 -0.0928 288.8852 289.3831
1.7500 703.0585 24.3509 14.6265 -0.6232 4.1682 15.2348 0.0000 0.0000 0.0000 -1.2949 1.6094 -0.0911 287.9265 288.5497
1.8500 694.8445 23.9184 13.6694 -0.7135 4.1595 14.4714 0.0000 0.0000 0.0000 -1.4850 1.6221 -0.0887 286.9694 287.6829
1.9500 686.7929 23.4848 12.7131 -0.7841 4.1509 13.7398 0.0000 0.0000 0.0000 -1.6513 1.6349 -0.0853 286.0131 286.7972
2.0500 678.7415 23.0517 11.7579 -0.8536 4.1424 13.0424 0.0000 0.0000 0.0000 -1.8132 1.6478 -0.0817 285.0579 285.9116
2.1500 670.6898 22.6186 10.8037 -0.9222 4.1339 12.3775 0.0000 0.0000 0.0000 -1.9712 1.6606 -0.0783 284.1037 285.0259
2.2500 662.6384 22.1849 9.8504 -0.9898 4.1251 11.7438 0.0000 0.0000 0.0000 -2.1253 1.6735 -0.0751 283.1504 284.1402
2.3500 654.5868 21.7495 8.8982 -1.0563 4.1160 11.1401 0.0000 0.0000 0.0000 -2.2874 1.6865 -0.0720 282.1982 283.2545
2.4500 646.7252 21.3114 7.9469 -1.1298 4.1068 10.5616 0.0000 0.0000 0.0000 -2.4731 1.6995 -0.0685 281.2469 282.3766
2.5500 639.1148 20.8749 6.9960 -1.2131 4.0979 10.0064 0.0000 0.0000 0.0000 -2.6715 1.7121 -0.0641 280.2960 281.5091
2.6500 631.5045 20.4436 6.0456 -1.2959 4.0891 9.4776 0.0000 0.0000 0.0000 -2.8674 1.7243 -0.0593 279.3456 280.6415
2.7500 623.8941 20.0166 5.0955 -1.3784 4.0804 8.9740 0.0000 0.0000 0.0000 -3.0612 1.7361 -0.0547 278.3955 279.7739
2.8500 616.2837 19.5925 4.1458 -1.4605 4.0717 8.4946 0.0000 0.0000 0.0000 -3.2534 1.7476 -0.0504 277.4458 278.9063
2.9500 608.6734 19.1709 3.1964 -1.5424 4.0630 8.0382 0.0000 0.0000 0.0000 -3.4443 1.7588 -0.0464 276.4963 278.0388
3.0500 601.0630 18.7493 2.2471 -1.6241 4.0543 7.6039 0.0000 0.0000 0.0000 -3.6764 1.7695 -0.0426 275.5471 277.1712
3.1500 593.8549 18.3218 1.2986 -1.7509 4.0448 7.1860 0.0000 0.0000 0.0000 -3.9576 1.7800 -0.0392 274.5985 276.3495
3.2500 586.7120 17.8848 0.3510 -1.8842 4.0344 6.7884 0.0000 0.0000 0.0000 -4.2466 1.7902 -0.0362 273.6510 275.5352
3.3500 579.5692 17.4359 -0.5954 -2.0163 4.0232 6.4109 0.0000 0.0000 0.0000 -4.5364 1.8002 -0.0335 272.7046 274.7209
3.4500 572.4263 16.9736 -1.5409 -2.1475 4.0113 6.0526 0.0000 0.0000 0.0000 -4.8272 1.8100 -0.0309 271.7591 273.9066
3.5500 565.2834 16.4944 -2.4853 -2.2776 3.9988 5.7127 0.0000 0.0000 0.0000 -5.1186 1.8197 -0.0285 270.8147 273.0923
3.6500 558.1406 15.9994 -3.4286 -2.4066 3.9857 5.3902 0.0000 0.0000 0.0000 -5.4112 1.8291 -0.0262 269.8714 272.2780
3.7500 550.9978 15.4748 -4.3711 -2.5348 3.9721 5.0844 0.0000 0.0000 0.0000 -5.9211 1.8383 -0.0240 268.9289 271.4637
3.8500 544.2722 14.8895 -5.3081 -2.8540 3.9563 4.7923 0.0000 0.0000 0.0000 -6.6789 1.8481 -0.0228 267.9919 270.8459
3.9500 537.6144 14.2258 -6.2378 -3.1979 3.9376 4.5172 0.0000 0.0000 0.0000 -7.4611 1.8587 -0.0224 267.0622 270.2601
4.0500 530.9566 13.4680 -7.1587 -3.5328 3.9156 4.2592 0.0000 0.0000 0.0000 -8.2568 1.8702 -0.0219 266.1413 269.6742
4.1500 524.2988 12.6073 -8.0936 -3.8819 3.8995 4.0099 0.0023 0.0000 0.0000 -8.9262 1.8827 -0.0211 265.2064 269.0883
4.2500 517.6411 11.6486 -8.8896 -4.0920 3.8278 3.8152 0.0317 0.0000 0.0000 -9.3146 1.8966 -0.0200 264.4104 268.5024
4.3500 510.9832 10.5830 -9.5476 -4.1642 3.7012 3.6691 0.1236 0.0000 0.0000 -9.5396 1.9121 -0.0186 263.7523 267.9165
4.4500 504.3254 9.3710 -10.1781 -4.2087 3.5643 3.5359 0.2197 0.0000 0.0000 -9.7195 1.9298 -0.0168 263.1219 267.3306
4.5500 497.8561 7.8789 -10.8089 -4.2445 3.4287 3.4058 0.3044 0.0000 0.0000 -9.8366 1.9511 -0.0143 262.4911 266.7356
