height(km) press(hPa) W(M/S) T(C) T-TE(C) QV(g/kg) SAT(g/kg) QC(g/kg) QH(g/kg) QI(g/kg) "Buoy(1e-2 m/s2)" radius(m) dwdt_entr(unitless) plumeT(K) envT(K)
0.0000 792.9164 32.7222 27.1065 0.2769 4.6354 29.7467 0.0000 0.0000 0.0000 2.7666 1.8952 -0.0481 300.4065 300.1296
0.0500 788.5262 32.6262 26.3212 0.5648 4.6341 28.5100 0.0000 0.0000 0.0000 2.7666 1.8989 -0.0481 299.6212 299.0564
0.1500 779.7457 32.6266 25.3380 1.7279 4.6298 27.1458 0.0000 0.0000 0.0000 4.7931 1.9038 -0.0473 298.6379 296.9101
0.2500 770.9550 32.6311 24.3492 2.2390 4.6227 25.8327 0.0000 0.0000 0.0000 5.1436 1.9096 -0.0546 297.6492 295.4102
0.3500 762.1522 32.5944 23.3625 1.9917 4.6158 24.5809 0.0000 0.0000 0.0000 4.5926 1.9156 -0.0601 296.6625 294.6708
0.4500 753.3493 32.5381 22.3774 1.7461 4.6090 23.3867 0.0000 0.0000 0.0000 4.1004 1.9217 -0.0610 295.6774 293.9313
0.5500 744.7410 32.4669 21.3938 1.5487 4.6024 22.2413 0.0000 0.0000 0.0000 3.7006 1.9278 -0.0611 294.6938 293.1451
0.6500 736.2520 32.3874 20.4116 1.3813 4.5959 21.1450 0.0000 0.0000 0.0000 3.3379 1.9337 -0.0599 293.7115 292.3302
0.7500 727.7630 32.3014 19.4305 1.2152 4.5894 20.0991 0.0000 0.0000 0.0000 2.9780 1.9396 -0.0583 292.7305 291.5153
0.8500 719.2740 32.2086 18.4507 1.0504 4.5831 19.1016 0.0000 0.0000 0.0000 2.6205 1.9454 -0.0569 291.7507 290.7003
0.9500 710.7852 32.1085 17.4720 0.8866 4.5767 18.1502 0.0000 0.0000 0.0000 2.2654 1.9511 -0.0557 290.7720 289.8854
1.0500 702.2961 32.0007 16.4945 0.7241 4.5702 17.2429 0.0000 0.0000 0.0000 1.9068 1.9568 -0.0545 289.7945 289.0704
1.1500 694.1357 31.8843 15.5179 0.5660 4.5640 16.3695 0.0000 0.0000 0.0000 1.5433 1.9625 -0.0536 288.8179 288.2519
1.2500 686.0971 31.7585 14.5423 0.4103 4.5580 15.5341 0.0000 0.0000 0.0000 1.1815 1.9681 -0.0529 287.8423 287.4319
1.3500 678.0585 31.6229 13.5677 0.2557 4.5521 14.7381 0.0000 0.0000 0.0000 0.8235 1.9737 -0.0523 286.8677 286.6120
1.4500 670.0200 31.4768 12.5941 0.1021 4.5463 13.9797 0.0000 0.0000 0.0000 0.4689 1.9794 -0.0519 285.8941 285.7920
1.5500 661.9813 31.3199 11.6216 -0.0505 4.5405 13.2572 0.0000 0.0000 0.0000 0.1176 1.9851 -0.0516 284.9216 284.9721
1.6500 653.9428 31.1512 10.6501 -0.2021 4.5347 12.5692 0.0000 0.0000 0.0000 -0.2344 1.9909 -0.0515 283.9501 284.1522
1.7500 646.1401 30.9706 9.6797 -0.3535 4.5289 11.9097 0.0000 0.0000 0.0000 -0.5908 1.9967 -0.0511 282.9796 283.3331
1.8500 638.5643 30.7805 8.7100 -0.5049 4.5233 11.2777 0.0000 0.0000 0.0000 -0.9476 2.0024 -0.0499 282.0100 282.5150
1.9500 630.9885 30.5820 7.7413 -0.6555 4.5178 10.6764 0.0000 0.0000 0.0000 -1.3013 2.0081 -0.0487 281.0413 281.6967
2.0500 623.4128 30.3740 6.7736 -0.8050 4.5123 10.1046 0.0000 0.0000 0.0000 -1.6519 2.0138 -0.0478 280.0735 280.8786
2.1500 615.8370 30.1548 5.8069 -0.9536 4.5067 9.5608 0.0000 0.0000 0.0000 -1.9996 2.0195 -0.0473 279.1068 280.0604
2.2500 608.2612 29.9240 4.8412 -1.1010 4.5010 9.0439 0.0000 0.0000 0.0000 -2.3445 2.0253 -0.0471 278.1412 279.2422
2.3500 600.6855 29.6790 3.8768 -1.2473 4.4951 8.5527 0.0000 0.0000 0.0000 -2.7000 2.0313 -0.0472 277.1768 278.4240
2.4500 593.5312 29.4196 2.9133 -1.4122 4.4889 8.0802 0.0000 0.0000 0.0000 -3.0690 2.0372 -0.0467 276.2133 277.6255
2.5500 586.4188 29.1497 1.9508 -1.5782 4.4822 7.6309 0.0000 0.0000 0.0000 -3.4395 2.0431 -0.0454 275.2508 276.8289
2.6500 579.3065 28.8688 0.9892 -1.7431 4.4752 7.2045 0.0000 0.0000 0.0000 -3.8105 2.0490 -0.0441 274.2892 276.0323
2.7500 572.1941 28.5768 0.0287 -1.9071 4.4678 6.7998 0.0000 0.0000 0.0000 -4.1818 2.0548 -0.0428 273.3286 275.2357
2.8500 565.0817 28.2725 -0.9308 -2.0700 4.4601 6.4159 0.0000 0.0000 0.0000 -4.5533 2.0606 -0.0417 272.3691 274.4391
2.9500 557.9693 27.9563 -1.8894 -2.2319 4.4519 6.0519 0.0000 0.0000 0.0000 -4.9254 2.0664 -0.0405 271.4106 273.6425
3.0500 550.8569 27.6257 -2.8469 -2.3929 4.4435 5.7067 0.0000 0.0000 0.0000 -5.4113 2.0721 -0.0395 270.4531 272.8460
3.1500 544.1754 27.2712 -3.8024 -2.6699 4.4338 5.3757 0.0000 0.0000 0.0000 -6.0290 2.0780 -0.0389 269.4976 272.1675
3.2500 537.5529 26.8897 -4.7563 -2.9615 4.4230 5.0618 0.0000 0.0000 0.0000 -6.6604 2.0841 -0.0388 268.5437 271.5053
3.3500 530.9304 26.4765 -5.7023 -3.2454 4.4086 4.7672 0.0000 0.0000 0.0000 -7.3434 2.0904 -0.0389 267.5977 270.8430
3.4500 524.3078 26.0302 -6.6927 -3.5735 4.4115 4.4725 0.0049 0.0000 0.0000 -7.8759 2.0969 -0.0389 266.6073 270.1808
3.5500 517.6854 25.5662 -7.4776 -3.6962 4.3315 4.2619 0.0795 0.0000 0.0000 -8.0392 2.1036 -0.0390 265.8224 269.5185
3.6500 511.0628 25.0934 -8.1122 -3.6685 4.1908 4.1084 0.1705 0.0000 0.0000 -8.0368 2.1106 -0.0390 265.1878 268.8563
3.7500 504.4403 24.6114 -8.7321 -3.6261 4.0437 3.9647 0.2987 0.0000 0.0000 -8.0356 2.1179 -0.0391 264.5679 268.1940
3.8500 497.9858 24.1194 -9.3568 -3.5853 3.8982 3.8228 0.4236 0.0000 0.0000 -8.0381 2.1254 -0.0390 263.9432 267.5284
3.9500 491.8734 23.6187 -9.9854 -3.5414 3.7540 3.6821 0.5462 0.0000 0.0000 -8.0478 2.1331 -0.0384 263.3146 266.8561
4.0500 485.7609 23.1102 -10.6201 -3.5038 3.6124 3.5443 0.6652 0.0000 0.0000 -8.0729 2.1410 -0.0374 262.6798 266.1837
4.1500 479.6484 22.5929 -11.2620 -3.4733 3.4737 3.4093 0.7802 0.0000 0.0000 -8.1142 2.1490 -0.0365 262.0380 265.5113
4.2500 473.5359 22.0654 -11.9110 -3.4500 3.3379 3.2772 0.8914 0.0000 0.0000 -8.1718 2.1572 -0.0355 261.3890 264.8390
4.3500 467.4235 21.5262 -12.5672 -3.4338 3.2050 3.1480 0.9985 0.0000 0.0000 -8.2456 2.1655 -0.0345 260.7328 264.1666
4.4500 461.3110 20.9739 -13.2304 -3.4247 3.0753 3.0217 1.1016 0.0000 0.0000 -8.3353 2.1741 -0.0335 260.0695 263.4942
4.5500 455.1985 20.4063 -13.9008 -3.4226 2.9486 2.8984 1.2005 0.0000 0.0000 -8.4289 2.1829 -0.0324 259.3992 262.8218
4.6500 449.1628 19.8246 -14.5776 -3.4171 2.8249 2.7778 1.2955 0.0000 0.0000 -8.4570 2.1919 -0.0313 258.7224 262.1395
4.7500 443.5637 19.2340 -15.2580 -3.3585 2.7029 2.6583 1.3886 0.0000 0.0000 -8.4299 2.2010 -0.0297 258.0420 261.4004
4.8500 437.9646 18.6356 -15.9446 -3.3059 2.5839 2.5422 1.4788 0.0000 0.0000 -8.4167 2.2100 -0.0279 257.3554 260.6613
4.9500 432.3655 18.0274 -16.6381 -3.2604 2.4682 2.4293 1.5655 0.0000 0.0000 -8.4183 2.2191 -0.0261 256.6619 259.9222
5.0500 426.7664 17.4071 -17.3386 -3.2218 2.3558 2.3197 1.6490 0.0000 0.0000 -8.4343 2.2281 -0.0243 255.9614 259.1832
5.1500 421.1673 16.7722 -18.0459 -3.1900 2.2466 2.2132 1.7290 0.0000 0.0000 -8.4649 2.2373 -0.0226 255.2541 258.4441
5.2500 415.5682 16.1196 -18.7601 -3.1651 2.1408 2.1099 1.8057 0.0000 0.0000 -8.5098 2.2464 -0.0210 254.5399 257.7050
