   1464     861    33.6    14.0     2.4   206.0     3.4   320.1     5.3
   1592     850    28.1    18.0     1.6    65.3     2.8   315.6     5.1
   1855     825    26.4    19.0     0.9    65.4     3.6   316.4     5.0
   2124     800    24.4    20.0    -0.1    63.6     3.6   317.1     4.8
   2401     775    22.1    21.0    -1.3    57.7     3.5   317.5     4.5
   2684     750    19.6    23.0    -2.1    50.0     3.4   317.9     4.4
   3271     700    14.6    28.0    -3.8    35.6     2.9   318.6     4.1
   3891     650     9.0    34.0    -6.1     0.2     2.3   319.1     3.7
   4546     600     3.4    38.0    -9.6   312.0     2.7   320.0     3.1
   5244     550    -2.0    41.0   -13.6   296.1     4.0   321.7     2.4
   5994     500    -7.4    41.0   -18.5   280.5     6.4   324.0     1.8
   6806     450   -12.4    20.0   -30.8   292.1     9.7   327.6     0.7
   7694     400   -18.8    27.0   -33.1   313.0     8.3   330.6     0.6
   8674     350   -26.1    19.0   -43.0   313.9     3.7   333.5     0.2
   9774     300   -33.0    10.0   -54.3   291.8     0.5   338.9     0.1
  11031     250   -42.1    13.0   -59.7   273.2     1.8   343.4     0.0
  11736     225   -47.0    16.0   -62.1   283.6     3.0   346.6     0.0
  12508     200   -51.6    22.0   -63.8   265.2     3.6   351.0     0.0
  13364     175   -56.5    28.0   -66.3   279.1     2.5   356.7     0.0
  14331     150   -61.5    25.0   -71.6   318.1     5.2   364.0     0.0
  15442     125   -68.0    37.0   -74.9   333.7     6.7   371.7     0.0
  16772     100   -70.3    37.0   -77.0   344.4     3.9   391.8     0.0
  18881      70   -69.5    16.0   -81.5   356.7     7.2   435.6     0.0
  20928      50   -61.3     1.0   -91.1     2.8     6.8   498.9     0.0
  24135      30   -54.5     0.1   -98.5     4.6    11.1   596.2     0.0
