height(km) press(hPa) W(M/S) T(C) T-TE(C) QV(g/kg) SAT(g/kg) QC(g/kg) QH(g/kg) QI(g/kg) "Buoy(1e-2 m/s2)" radius(m) dwdt_entr(unitless) plumeT(K) envT(K)
0.0000 859.9973 26.9133 21.9684 0.3164 4.2648 19.8746 0.0000 0.0000 0.0000 -12.2487 1.1026 -0.0385 295.2683 294.9519
0.0500 855.6113 26.3748 21.1961 -3.4382 4.2645 19.0311 0.0000 0.0000 0.0000 -12.2487 1.1050 -0.0385 294.4961 297.9344
0.1500 846.5750 25.5944 20.2803 -7.8957 4.2624 18.1565 0.0000 0.0000 0.0000 -17.1504 1.1083 -0.0321 293.5803 301.4760
0.2500 837.0692 24.7612 19.3703 -8.0453 4.2600 17.3344 0.0000 0.0000 0.0000 -17.5041 1.1120 -0.0347 292.6703 300.7155
0.3500 827.5635 23.8792 18.4666 -8.1885 4.2572 16.5526 0.0000 0.0000 0.0000 -17.8738 1.1160 -0.0355 291.7666 299.9551
0.4500 818.2379 22.9416 17.5696 -8.3394 4.2545 15.8059 0.0000 0.0000 0.0000 -18.2676 1.1203 -0.0362 290.8696 299.2090
0.5500 808.9786 21.9431 16.6799 -8.4884 4.2520 15.0954 0.0000 0.0000 0.0000 -18.6530 1.1250 -0.0363 289.9799 298.4683
0.6500 799.7254 20.8786 15.7983 -8.6286 4.2499 14.4212 0.0000 0.0000 0.0000 -18.9944 1.1300 -0.0361 289.0983 297.7269
0.7500 790.6675 19.7403 14.9261 -8.7400 4.2479 13.7791 0.0000 0.0000 0.0000 -19.2897 1.1356 -0.0357 288.2260 296.9661
0.8500 781.6095 18.5166 14.0645 -8.8407 4.2460 13.1721 0.0000 0.0000 0.0000 -19.5362 1.1418 -0.0349 287.3645 296.2052
0.9500 772.6204 17.1971 13.2151 -8.9065 4.2442 12.5982 0.0000 0.0000 0.0000 -19.6709 1.1485 -0.0338 286.5151 295.4216
1.0500 763.8176 15.7652 12.3797 -8.8968 4.2431 12.0551 0.0000 0.0000 0.0000 -19.7082 1.1562 -0.0322 285.6797 294.5765
1.1500 755.0148 14.1878 11.5614 -8.8701 4.2426 11.5463 0.0000 0.0000 0.0000 -19.6966 1.1649 -0.0301 284.8614 293.7314
1.2500 746.3408 12.4067 10.7650 -8.8192 4.2428 11.0714 0.0000 0.0000 0.0000 -19.6126 1.1749 -0.0271 284.0649 292.8841
1.3500 737.8375 10.2238 10.0058 -8.7279 4.2440 10.6387 0.0000 0.0000 0.0000 -19.3282 1.1872 -0.0227 283.3058 292.0338
1.4500 729.3340 7.1809 9.3827 -8.5007 4.2454 10.3168 0.0000 0.0000 0.0000 -18.2869 1.2103 -0.0159 282.6827 291.1834
1.5500 720.8307 3.4035 9.2918 -7.7412 4.2421 10.3758 0.0000 0.0000 0.0000 -15.5012 1.2807 -0.0071 282.5918 290.3331
1.6500 712.3272 0.3359 10.2104 -5.9724 4.2241 11.1810 0.0000 0.0000 0.0000 -10.8780 1.4394 -0.0006 283.5104 289.4827
1.7500 703.8239 -0.9356 11.7332 -3.5992 4.1923 12.5473 0.0000 0.0000 0.0000 -6.1560 1.6432 -0.0014 285.0332 288.6324
1.8500 695.5691 -0.8979 12.6995 -1.7632 4.1575 13.5503 0.0000 0.0000 0.0000 -2.9797 1.8147 -0.0010 285.9995 287.7626
1.9500 687.5176 -0.5458 12.8044 -0.7725 4.1240 13.8091 0.0000 0.0000 0.0000 -1.3523 1.9372 -0.0005 286.1044 286.8769
2.0500 679.4660 -0.2729 12.3770 -0.3143 4.0903 13.5818 0.0000 0.0000 0.0000 -0.6193 2.0256 -0.0002 285.6770 285.9913
2.1500 671.4146 -0.1235 11.6875 -0.1181 4.0542 13.1253 0.0000 0.0000 0.0000 -0.3131 2.0918 -0.0001 284.9875 285.1056
2.2500 663.3630 -0.0550 10.8815 -0.0385 4.0143 12.5832 0.0000 0.0000 0.0000 -0.1888 2.1419 -0.0000 284.1815 284.2199
2.3500 655.3115 -0.0269 10.0307 -0.0035 3.9696 12.0247 0.0000 0.0000 0.0000 -0.1374 2.1787 -0.0000 283.3307 283.3343
2.4500 647.4140 -0.0165 9.1747 0.0092 3.9198 11.4817 0.0000 0.0000 0.0000 -0.1268 2.2032 -0.0000 282.4747 282.4655
2.5500 639.8152 -0.0126 8.3324 0.0027 3.8646 10.9660 0.0000 0.0000 0.0000 -0.1297 2.2159 -0.0000 281.6324 281.6297
2.6500 632.2164 -0.0105 7.4945 0.0007 3.8041 10.4745 0.0000 0.0000 0.0000 -0.1268 2.2164 -0.0000 280.7945 280.7938
2.7500 624.6177 -0.0090 6.6581 0.0001 3.7384 10.0037 0.0000 0.0000 0.0000 -0.1232 2.2040 -0.0000 279.9581 279.9579
2.8500 617.0189 -0.0079 5.8219 -0.0002 3.6673 9.5523 0.0000 0.0000 0.0000 -0.1212 2.1776 -0.0000 279.1219 279.1221
2.9500 609.4201 -0.0071 4.9853 -0.0009 3.5906 9.1190 0.0000 0.0000 0.0000 -0.1240 2.1361 -0.0000 278.2853 278.2862
3.0500 601.8214 -0.0058 4.1464 -0.0040 3.5081 8.7019 0.0000 0.0000 0.0000 -0.1127 2.0777 -0.0000 277.4464 277.4503
3.1500 594.5692 -0.0040 3.2964 -0.0019 3.4189 8.2907 0.0000 0.0000 0.0000 -0.0829 2.0002 -0.0000 276.5964 276.5983
3.2500 587.4263 -0.0025 2.4408 -0.0004 3.3235 7.8922 0.0000 0.0000 0.0000 -0.0558 1.8998 -0.0000 275.7408 275.7411
3.3500 580.2834 -0.0015 1.5839 -0.0001 3.2226 7.5102 0.0000 0.0000 0.0000 -0.0349 1.7713 -0.0000 274.8839 274.8840
3.4500 573.1406 -0.0007 0.7268 -0.0000 3.1169 7.1447 0.0000 0.0000 0.0000 -0.0184 1.6085 -0.0000 274.0268 274.0269
3.5500 565.9978 -0.0001 -0.1302 0.0000 3.0076 6.7952 0.0000 0.0000 0.0000 0.0000 1.4036 -0.0000 273.1697 273.1697
3.6500 558.8549 0.0000 -0.9874 0.0000 2.8960 6.4611 0.0000 0.0000 0.0000 0.0000 1.1464 0.0000 272.3126 272.3126
3.7500 551.7120 0.0000 -1.8445 0.0000 2.7617 6.1417 0.0000 0.0000 0.0000 0.0000 1.1476 0.0000 271.4554 271.4554
3.8500 544.9312 0.0000 -2.5366 0.0000 2.5676 5.9053 0.0000 0.0000 0.0000 0.0000 1.1488 0.0000 270.7634 270.7634
