   1464     860    21.8    21.8    -1.0    43.9     2.5   307.9     4.1
   1578     850    28.6    13.0    -2.5   301.7     1.8   316.2     3.8
   1841     825    26.6    14.0    -3.2   286.0     2.3   316.7     3.7
   2111     800    24.6    16.0    -3.0   279.9     2.8   317.3     3.9
   2387     775    22.5    18.0    -3.1   280.7     3.4   318.0     3.9
   2671     750    20.1    21.0    -2.9   284.5     4.1   318.5     4.1
   3259     700    15.1    28.0    -3.3   289.4     5.4   319.3     4.3
   3880     650     9.6    37.0    -4.4   300.0     5.7   319.8     4.2
   4538     600     4.1    44.0    -7.1   300.0     6.5   320.8     3.7
   5238     550    -1.9    45.0   -12.2   291.2     9.0   321.9     2.7
   5988     500    -6.7    30.0   -21.4   287.1    10.5   324.9     1.4
   6803     450   -11.5     8.0   -39.4   294.2    11.5   328.7     0.3
   7693     400   -18.6     6.0   -47.5   300.1    10.8   330.7     0.1
   8674     350   -25.5     6.0   -52.8   285.0     5.8   334.3     0.1
   9774     300   -32.6     6.0   -58.2   256.0     5.8   339.4     0.0
  11034     250   -41.5     9.0   -62.0   259.0     6.3   344.4     0.0
  11741     225   -46.3    13.0   -63.1   271.8     6.5   347.6     0.0
  12514     200   -51.5    21.0   -64.0   284.9     5.1   351.1     0.0
  13371     175   -56.0    28.0   -65.8   299.4     5.5   357.6     0.0
  14339     150   -61.3    27.0   -70.8   301.0     7.0   364.6     0.0
  15453     125   -67.5    34.0   -74.9   308.8     7.7   372.8     0.0
  16783     100   -71.0    41.0   -77.0   341.5     7.4   390.5     0.0
  18896      70   -68.8    13.0   -82.2   355.0     5.4   437.1     0.0
  20942      50   -61.5     2.0   -87.3   356.8     3.8   498.7     0.0
  24155      30   -55.0     0.1   -98.8    17.1    13.0   594.6     0.0
