height(km) press(hPa) W(M/S) T(C) T-TE(C) QV(g/kg) SAT(g/kg) QC(g/kg) QH(g/kg) QI(g/kg) "Buoy(1e-2 m/s2)" radius(m) dwdt_entr(unitless) plumeT(K) envT(K)
0.0000 794.9183 25.7852 28.1735 0.3533 3.6877 31.6700 0.0000 0.0000 0.0000 4.6526 0.9254 -0.0742 301.4735 301.1202
0.0500 790.6265 25.6340 27.3664 1.1127 3.6896 30.3163 0.0000 0.0000 0.0000 4.6526 0.9304 -0.0742 300.6664 299.5536
0.1500 782.0428 25.6258 26.3307 3.2101 3.6962 28.7741 0.0000 0.0000 0.0000 8.7500 0.9398 -0.1012 299.6307 296.4206
0.2500 773.4030 25.4688 25.2193 4.8098 3.7062 27.1776 0.0000 0.0000 0.0000 10.2124 0.9537 -0.1556 298.5193 293.7094
0.3500 764.5062 25.1352 24.1207 4.4942 3.7175 25.6912 0.0000 0.0000 0.0000 9.5295 0.9678 -0.1804 297.4207 292.9265
0.4500 755.6094 24.7848 23.0306 4.1870 3.7299 24.2914 0.0000 0.0000 0.0000 8.8823 0.9822 -0.1767 296.3306 292.1436
0.5500 746.8472 24.4200 21.9492 3.8956 3.7419 22.9692 0.0000 0.0000 0.0000 8.2975 0.9968 -0.1724 295.2492 291.3536
0.6500 738.3148 24.0525 20.8776 3.6260 3.7514 21.7186 0.0000 0.0000 0.0000 7.7579 1.0113 -0.1655 294.1776 290.5516
0.7500 729.7823 23.6917 19.8152 3.3657 3.7583 20.5416 0.0000 0.0000 0.0000 7.2344 1.0257 -0.1572 293.1152 289.7495
0.8500 721.2499 23.3375 18.7614 3.1140 3.7628 19.4330 0.0000 0.0000 0.0000 6.7261 1.0401 -0.1496 292.0614 288.9475
0.9500 712.7174 22.9890 17.7157 2.8703 3.7651 18.3878 0.0000 0.0000 0.0000 6.2318 1.0544 -0.1423 291.0157 288.1454
1.0500 704.1851 22.6436 16.6775 2.6341 3.7654 17.4019 0.0000 0.0000 0.0000 5.7331 1.0686 -0.1354 289.9774 287.3434
1.1500 695.8844 22.3002 15.6474 2.3843 3.7629 16.4668 0.0000 0.0000 0.0000 5.2119 1.0826 -0.1283 288.9474 286.5631
1.2500 687.8069 21.9631 14.6258 2.1220 3.7572 15.5804 0.0000 0.0000 0.0000 4.6854 1.0962 -0.1204 287.9258 285.8038
1.3500 679.7292 21.6343 13.6120 1.8675 3.7487 14.7444 0.0000 0.0000 0.0000 4.1701 1.1096 -0.1124 286.9120 285.0445
1.4500 671.6517 21.3120 12.6054 1.6201 3.7378 13.9554 0.0000 0.0000 0.0000 3.6647 1.1226 -0.1051 285.9054 284.2852
1.5500 663.5742 20.9941 11.6053 1.3793 3.7249 13.2102 0.0000 0.0000 0.0000 3.1681 1.1353 -0.0983 284.9052 283.5260
1.6500 655.4967 20.6791 10.6112 1.1445 3.7101 12.5057 0.0000 0.0000 0.0000 2.6811 1.1477 -0.0919 283.9112 282.7667
1.7500 647.5647 20.3654 9.6227 0.9162 3.6937 11.8368 0.0000 0.0000 0.0000 2.2049 1.1598 -0.0860 282.9227 282.0065
1.8500 639.9427 20.0510 8.6391 0.6948 3.6760 11.1981 0.0000 0.0000 0.0000 1.7374 1.1716 -0.0805 281.9391 281.2443
1.9500 632.3208 19.7342 7.6601 0.4780 3.6570 10.5937 0.0000 0.0000 0.0000 1.2754 1.1832 -0.0755 280.9601 280.4821
2.0500 624.6989 19.4133 6.6854 0.2655 3.6370 10.0215 0.0000 0.0000 0.0000 0.8187 1.1945 -0.0708 279.9854 279.7199
2.1500 617.0769 19.0869 5.7148 0.0571 3.6161 9.4797 0.0000 0.0000 0.0000 0.3665 1.2056 -0.0663 279.0148 278.9577
2.2500 609.4549 18.7534 4.7480 -0.1476 3.5944 8.9665 0.0000 0.0000 0.0000 -0.0815 1.2165 -0.0621 278.0479 278.1955
2.3500 601.8329 18.4116 3.7847 -0.3486 3.5722 8.4803 0.0000 0.0000 0.0000 -0.5358 1.2271 -0.0582 277.0847 277.4333
2.4500 594.5750 18.0569 2.8251 -0.5607 3.5485 8.0148 0.0000 0.0000 0.0000 -1.0004 1.2377 -0.0549 276.1251 276.6858
2.5500 587.4320 17.6839 1.8691 -0.7738 3.5232 7.5727 0.0000 0.0000 0.0000 -1.4654 1.2483 -0.0522 275.1691 275.9429
2.6500 580.2892 17.2900 0.9171 -0.9830 3.4964 7.1544 0.0000 0.0000 0.0000 -1.9274 1.2590 -0.0497 274.2171 275.2001
2.7500 573.1463 16.8738 -0.0313 -1.1885 3.4681 6.7585 0.0000 0.0000 0.0000 -2.3862 1.2697 -0.0473 273.2687 274.4572
2.8500 566.0035 16.4331 -0.9758 -1.3902 3.4385 6.3841 0.0000 0.0000 0.0000 -2.8415 1.2806 -0.0449 272.3242 273.7144
2.9500 558.8606 15.9675 -1.9166 -1.5881 3.4075 6.0299 0.0000 0.0000 0.0000 -3.2930 1.2915 -0.0426 271.3834 272.9715
3.0500 551.7178 15.4695 -2.8535 -1.7821 3.3755 5.6949 0.0000 0.0000 0.0000 -3.8495 1.3025 -0.0402 270.4465 272.2286
3.1500 544.9567 14.9207 -3.7836 -2.0696 3.3405 5.3755 0.0000 0.0000 0.0000 -4.5418 1.3140 -0.0384 269.5164 271.5860
3.2500 538.3166 14.3066 -4.7050 -2.3801 3.3017 5.0744 0.0000 0.0000 0.0000 -5.2553 1.3263 -0.0372 268.5950 270.9751
3.3500 531.6765 13.6191 -5.6167 -2.6809 3.2590 4.7919 0.0000 0.0000 0.0000 -5.9520 1.3394 -0.0360 267.6833 270.3642
3.4500 525.0364 12.8496 -6.5177 -2.9710 3.2119 4.5272 0.0000 0.0000 0.0000 -6.6290 1.3534 -0.0344 266.7823 269.7533
3.5500 518.3963 11.9855 -7.4065 -3.2489 3.1600 4.2797 0.0000 0.0000 0.0000 -7.2815 1.3686 -0.0324 265.8935 269.1425
3.6500 511.7562 11.0076 -8.2809 -3.5125 3.1026 4.0488 0.0000 0.0000 0.0000 -7.9029 1.3852 -0.0299 265.0191 268.5316
3.7500 505.1161 9.8849 -9.1376 -3.7582 3.0383 3.8345 0.0000 0.0000 0.0000 -8.4619 1.4038 -0.0270 264.1624 267.9207
3.8500 498.5954 8.5584 -9.9721 -3.9620 2.9659 3.6360 0.0000 0.0000 0.0000 -8.8613 1.4249 -0.0232 263.3279 267.2899
3.9500 492.4754 6.8759 -10.7699 -4.0621 2.8821 3.4540 0.0000 0.0000 0.0000 -9.0082 1.4510 -0.0180 262.5301 266.5922
4.0500 486.3555 4.6883 -11.4492 -4.0437 2.7627 3.3117 0.0000 0.0000 0.0000 -8.6454 1.4954 -0.0114 261.8508 265.8945
