height(mAGL) detrain(unitless)
50 0.0155
150 0.0195
250 0.0264
350 0.0299
450 0.0299
550 0.0299
650 0.0299
750 0.0300
850 0.0300
950 0.0299
1050 0.0299
1150 0.0297
1250 0.0291
1350 0.0284
1450 0.0278
1550 0.0272
1650 0.0266
1750 0.0259
1850 0.0248
1950 0.0235
2050 0.0223
2150 0.0211
2250 0.0200
2350 0.0188
2450 0.0178
2550 0.0170
2650 0.0161
2750 0.0153
2850 0.0146
2950 0.0139
3050 0.0132
3150 0.0128
3250 0.0128
3350 0.0129
3450 0.0129
3550 0.0128
3650 0.0128
3750 0.0127
3850 0.0125
3950 0.0123
4050 0.0120
4150 0.0117
4250 0.0114
4350 0.0110
4450 0.0107
4550 0.0103
4650 0.0099
4750 0.0092
4850 0.0083
4950 0.0075
5050 0.0068
5150 0.0061
5250 0.0054
5350 0.0048
5450 0.0043
5550 0.0038
5650 0.0033
5750 0.0028
5850 0.0023
5950 0.0020
6050 0.0016
6150 0.0013
6250 0.0010
6350 0.0008
6450 0.0006
6550 0.0004
6650 0.0004
6750 0.0004
6850 0.0004
6950 0.0004
7050 0.0004
7150 0.0003
7250 0.0002
7350 0.0001
7450 0.0000
7550 0.0000
7650 0.0000
7750 0.0000
7850 0.0000
7950 0.0000
8050 0.0000
8150 0.0000
8250 0.0000
8350 0.0000
8450 0.0000
8550 0.0000
8650 0.0000
8750 0.0000
8850 0.0000
8950 0.0000
9050 0.0000
9150 0.0000
9250 0.0000
9350 0.0000
9450 0.0000
9550 0.0000
9650 0.0000
9750 0.0000
9850 0.0000
9950 0.0000
10050 0.0000
10150 0.0000
10250 0.0000
10350 0.0000
10450 0.0000
10550 0.0000
10650 0.0000
10750 0.0000
10850 0.0000
10950 0.0000
11050 0.0000
11150 0.0000
11250 0.0000
11350 0.0000
11450 0.0000
11550 0.0000
11650 0.0000
11750 0.0000
11850 0.0000
11950 0.0000
12050 0.0000
12150 0.0000
12250 0.0000
12350 0.0000
12450 0.0000
12550 0.0000
12650 0.0000
12750 0.0000
12850 0.0000
12950 0.0000
13050 0.0000
13150 0.0000
13250 0.0000
13350 0.0000
13450 0.0000
13550 0.0000
13650 0.0000
13750 0.0000
13850 0.0000
13950 0.0000
14050 0.0000
14150 0.0000
14250 0.0000
14350 0.0000
14450 0.0000
14550 0.0000
14650 0.0000
14750 0.0000
14850 0.0000
14950 0.0000
15050 0.0000
15150 0.0000
15250 0.0000
15350 0.0000
15450 0.0000
15550 0.0000
15650 0.0000
15750 0.0000
15850 0.0000
15950 0.0000
16050 0.0000
16150 0.0000
16250 0.0000
16350 0.0000
16450 0.0000
16550 0.0000
16650 0.0000
16750 0.0000
16850 0.0000
16950 0.0000
17050 0.0000
17150 0.0000
17250 0.0000
17350 0.0000
17450 0.0000
17550 0.0000
17650 0.0000
17750 0.0000
17850 0.0000
17950 0.0000
18050 0.0000
18150 0.0000
18250 0.0000
18350 0.0000
18450 0.0000
18550 0.0000
18650 0.0000
18750 0.0000
18850 0.0000
18950 0.0000
19050 0.0000
19150 0.0000
19250 0.0000
19350 0.0000
19450 0.0000
19550 0.0000
19650 0.0000
19750 0.0000
19850 0.0000
19950 0.0000
