height(km) press(hPa) W(M/S) T(C) T-TE(C) QV(g/kg) SAT(g/kg) QC(g/kg) QH(g/kg) QI(g/kg) "Buoy(1e-2 m/s2)" radius(m) dwdt_entr(unitless) plumeT(K) envT(K)
3.8500 544.9312 0.0000 -2.5366 0.0000 2.5676 5.9053 0.0000 0.0000 0.0000 0.0000 1.2324 0.0000 270.7634 270.7634
3.9500 538.2645 0.0000 -3.1766 0.0000 2.3636 5.6983 0.0000 0.0000 0.0000 0.0000 1.2336 0.0000 270.1234 270.1234
4.0500 531.5978 0.0000 -3.8166 0.0000 2.1706 5.4981 0.0000 0.0000 0.0000 0.0000 1.2348 0.0000 269.4834 269.4834
4.1500 524.9312 0.0000 -4.4566 0.0000 1.9880 5.3043 0.0000 0.0000 0.0000 0.0000 1.2360 0.0000 268.8434 268.8434
4.2500 518.2645 0.0000 -5.0966 0.0000 1.8155 5.1170 0.0000 0.0000 0.0000 0.0000 1.2372 0.0000 268.2034 268.2034
4.3500 511.5979 0.0000 -5.7366 0.0000 1.6525 4.9358 0.0000 0.0000 0.0000 0.0000 1.2384 0.0000 267.5634 267.5634
4.4500 504.9312 0.0000 -6.3766 0.0000 1.4986 4.7605 0.0000 0.0000 0.0000 0.0000 1.2396 0.0000 266.9234 266.9234
4.5500 498.4030 0.0000 -7.0033 0.0000 1.3461 4.5946 0.0000 0.0000 0.0000 0.0000 1.2408 0.0000 266.2967 266.2967
4.6500 492.2680 0.0000 -7.5923 0.0000 1.1819 4.4436 0.0000 0.0000 0.0000 0.0000 1.2420 0.0000 265.7077 265.7077
4.7500 486.1331 0.0000 -8.1812 0.0000 1.0270 4.2972 0.0000 0.0000 0.0000 0.0000 1.2432 0.0000 265.1187 265.1187
4.8500 479.9980 0.0000 -8.7702 0.0000 0.8809 4.1554 0.0000 0.0000 0.0000 0.0000 1.2444 0.0000 264.5298 264.5298
4.9500 473.8631 0.0000 -9.3592 0.0000 0.7433 4.0180 0.0000 0.0000 0.0000 0.0000 1.2456 0.0000 263.9408 263.9408
5.0500 467.7281 0.0000 -9.9481 0.0000 0.6138 3.8849 0.0000 0.0000 0.0000 0.0000 1.2468 0.0000 263.3519 263.3519
5.1500 461.5931 0.0000 -10.5370 0.0000 0.4921 3.7559 0.0000 0.0000 0.0000 0.0000 1.2480 0.0000 262.7629 262.7629
5.2500 455.4581 0.0000 -11.1260 0.0000 0.3777 3.6310 0.0000 0.0000 0.0000 0.0000 1.2492 0.0000 262.1740 262.1740
5.3500 449.3802 0.0000 -11.7380 0.0000 0.2794 3.5031 0.0000 0.0000 0.0000 0.0000 1.2504 0.0000 261.5620 261.5620
5.4500 443.7622 0.0000 -12.5358 0.0000 0.2577 3.3252 0.0000 0.0000 0.0000 0.0000 1.2516 0.0000 260.7642 260.7642
5.5500 438.1443 0.0000 -13.3335 0.0000 0.2375 3.1555 0.0000 0.0000 0.0000 0.0000 1.2528 0.0000 259.9665 259.9665
5.6500 432.5263 0.0000 -14.1313 0.0000 0.2186 2.9936 0.0000 0.0000 0.0000 0.0000 1.2540 0.0000 259.1687 259.1687
5.7500 426.9083 0.0000 -14.9290 0.0000 0.2009 2.8392 0.0000 0.0000 0.0000 0.0000 1.2552 0.0000 258.3710 258.3710
5.8500 421.2903 0.0000 -15.7268 0.0000 0.1844 2.6920 0.0000 0.0000 0.0000 0.0000 1.2564 0.0000 257.5732 257.5732
5.9500 415.6724 0.0000 -16.5245 0.0000 0.1691 2.5516 0.0000 0.0000 0.0000 0.0000 1.2576 0.0000 256.7755 256.7755
6.0500 410.0544 0.0000 -17.3223 0.0000 0.1548 2.4179 0.0000 0.0000 0.0000 0.0000 1.2588 0.0000 255.9777 255.9777
6.1500 404.4364 0.0000 -18.1200 0.0000 0.1415 2.2905 0.0000 0.0000 0.0000 0.0000 1.2600 0.0000 255.1800 255.1800
6.2500 398.9280 0.0000 -18.8979 0.0000 0.1303 2.1723 0.0000 0.0000 0.0000 0.0000 1.2612 0.0000 254.4021 254.4021
6.3500 393.8312 0.0000 -19.6013 0.0000 0.1243 2.0708 0.0000 0.0000 0.0000 0.0000 1.2624 0.0000 253.6987 253.6987
6.4500 388.7344 0.0000 -20.3047 0.0000 0.1184 1.9737 0.0000 0.0000 0.0000 0.0000 1.2636 0.0000 252.9953 252.9953
6.5500 383.6375 0.0000 -21.0080 0.0000 0.1128 1.8806 0.0000 0.0000 0.0000 0.0000 1.2648 0.0000 252.2920 252.2920
6.6500 378.5407 0.0000 -21.7114 0.0000 0.1075 1.7916 0.0000 0.0000 0.0000 0.0000 1.2660 0.0000 251.5886 251.5886
6.7500 373.4438 0.0000 -22.4147 0.0000 0.1024 1.7064 0.0000 0.0000 0.0000 0.0000 1.2672 0.0000 250.8852 250.8852
