height(km) press(hPa) W(M/S) T(C) T-TE(C) QV(g/kg) SAT(g/kg) QC(g/kg) QH(g/kg) QI(g/kg) "Buoy(1e-2 m/s2)" radius(m) dwdt_entr(unitless) plumeT(K) envT(K)
0.0000 850.3199 29.7780 29.8195 0.2896 5.1555 32.6041 0.0000 0.0000 0.0000 0.2413 1.5143 -0.0792 303.1195 302.8299
0.0500 845.2046 29.5292 29.0317 0.2886 5.1560 31.2846 0.0000 0.0000 0.0000 0.2413 1.5204 -0.0792 302.3317 302.0431
0.1500 835.5521 29.2460 28.0616 -0.0637 5.1555 29.8513 0.0000 0.0000 0.0000 -0.4681 1.5279 -0.0799 301.3616 301.4253
0.2500 825.8997 28.9439 27.0953 -0.4123 5.1538 28.4849 0.0000 0.0000 0.0000 -1.0806 1.5355 -0.0780 300.3953 300.8076
0.3500 816.5411 28.6277 26.1316 -0.6755 5.1507 27.1698 0.0000 0.0000 0.0000 -1.5877 1.5430 -0.0760 299.4316 300.1071
0.4500 807.2126 28.2967 25.1705 -0.9276 5.1463 25.9135 0.0000 0.0000 0.0000 -2.0571 1.5506 -0.0741 298.4705 299.3982
0.5500 797.9531 27.9549 24.2119 -1.1498 5.1406 24.7116 0.0000 0.0000 0.0000 -2.4053 1.5582 -0.0726 297.5119 298.6617
0.6500 788.9279 27.6012 23.2550 -1.2763 5.1338 23.5560 0.0000 0.0000 0.0000 -2.6582 1.5662 -0.0726 296.5550 297.8314
0.7500 779.9026 27.2300 22.3003 -1.4007 5.1260 22.4524 0.0000 0.0000 0.0000 -2.8417 1.5745 -0.0736 295.6003 297.0010
0.8500 770.9789 26.8475 21.3468 -1.4528 5.1177 21.3946 0.0000 0.0000 0.0000 -2.8754 1.5831 -0.0741 294.6468 296.0996
0.9500 762.1760 26.4634 20.3931 -1.4206 5.1096 20.3783 0.0000 0.0000 0.0000 -2.8243 1.5918 -0.0734 293.6931 295.1137
1.0500 753.3733 26.0795 19.4393 -1.3885 5.1016 19.4055 0.0000 0.0000 0.0000 -2.8041 1.6007 -0.0722 292.7393 294.1278
1.1500 744.7640 25.6939 18.4854 -1.3886 5.0936 18.4698 0.0000 0.0000 0.0000 -2.8380 1.6097 -0.0707 291.7854 293.1740
1.2500 736.2750 25.3086 17.5316 -1.4086 5.0858 17.5719 0.0000 0.0000 0.0000 -2.8904 1.6186 -0.0685 290.8316 292.2403
1.3500 727.7861 24.9249 16.5780 -1.4284 5.0778 16.7136 0.0000 0.0000 0.0000 -2.9391 1.6276 -0.0662 289.8780 291.3065
1.4500 719.2972 24.5414 15.6246 -1.4481 5.0696 15.8933 0.0000 0.0000 0.0000 -2.9844 1.6367 -0.0642 288.9246 290.3727
1.5500 710.8082 24.1584 14.6715 -1.4674 5.0611 15.1095 0.0000 0.0000 0.0000 -3.0263 1.6458 -0.0625 287.9715 289.4389
1.6500 702.3193 23.7727 13.7188 -1.4864 5.0522 14.3608 0.0000 0.0000 0.0000 -3.1391 1.6551 -0.0609 287.0187 288.5051
1.7500 694.1482 23.3786 12.7669 -1.5628 5.0432 13.6400 0.0000 0.0000 0.0000 -3.3497 1.6645 -0.0593 286.0669 287.6297
1.8500 686.0967 22.9744 11.8163 -1.6599 5.0342 12.9505 0.0000 0.0000 0.0000 -3.5829 1.6740 -0.0578 285.1163 286.7762
1.9500 678.0451 22.5594 10.8672 -1.7555 5.0252 12.2934 0.0000 0.0000 0.0000 -3.8106 1.6836 -0.0564 284.1672 285.9228
2.0500 669.9935 22.1317 9.9198 -1.8495 5.0160 11.6676 0.0000 0.0000 0.0000 -4.0328 1.6935 -0.0552 283.2198 285.0693
2.1500 661.9421 21.6907 8.9740 -1.9418 5.0064 11.0716 0.0000 0.0000 0.0000 -4.2494 1.7036 -0.0542 282.2740 284.2159
2.2500 653.8905 21.2333 8.0303 -2.0321 4.9962 10.5044 0.0000 0.0000 0.0000 -4.5083 1.7141 -0.0533 281.3303 283.3624
2.3500 646.0790 20.7544 7.0888 -2.1612 4.9857 9.9610 0.0000 0.0000 0.0000 -4.8548 1.7249 -0.0521 280.3888 282.5500
2.4500 638.4917 20.2533 6.1497 -2.3264 4.9749 9.4410 0.0000 0.0000 0.0000 -5.2408 1.7357 -0.0503 279.4497 281.7761
2.5500 630.9044 19.7303 5.2133 -2.4890 4.9636 8.9470 0.0000 0.0000 0.0000 -5.6209 1.7467 -0.0483 278.5132 281.0022
2.6500 623.3172 19.1829 4.2798 -2.6486 4.9518 8.4778 0.0000 0.0000 0.0000 -5.9946 1.7580 -0.0465 277.5798 280.2283
