height(mAGL) detrain(unitless)
50 0.0451
150 0.0464
250 0.0446
350 0.0427
450 0.0408
550 0.0390
650 0.0379
750 0.0377
850 0.0374
950 0.0366
1050 0.0353
1150 0.0340
1250 0.0327
1350 0.0314
1450 0.0302
1550 0.0291
1650 0.0281
1750 0.0271
1850 0.0262
1950 0.0252
2050 0.0243
2150 0.0234
2250 0.0224
2350 0.0214
2450 0.0201
2550 0.0187
2650 0.0172
2750 0.0159
2850 0.0146
2950 0.0133
3050 0.0120
3150 0.0106
3250 0.0093
3350 0.0080
3450 0.0068
3550 0.0056
3650 0.0045
3750 0.0034
3850 0.0023
3950 0.0014
4050 0.0007
4150 0.0004
4250 0.0002
4350 0.0002
4450 0.0002
4550 0.0002
4650 0.0002
4750 0.0002
4850 0.0002
4950 0.0002
5050 0.0002
5150 0.0002
5250 0.0002
5350 0.0002
5450 0.0002
5550 0.0002
5650 0.0002
5750 0.0002
5850 0.0002
5950 0.0002
6050 0.0002
6150 0.0002
6250 0.0002
6350 0.0002
6450 0.0002
6550 0.0002
6650 0.0002
6750 0.0002
6850 0.0002
6950 0.0002
7050 0.0002
7150 0.0002
7250 0.0002
7350 0.0002
7450 0.0002
7550 0.0002
7650 0.0002
7750 0.0002
7850 0.0002
7950 0.0002
8050 0.0002
8150 0.0002
8250 0.0002
8350 0.0002
8450 0.0002
8550 0.0002
8650 0.0002
8750 0.0002
8850 0.0002
8950 0.0002
9050 0.0002
9150 0.0002
9250 0.0002
9350 0.0002
9450 0.0002
9550 0.0002
9650 0.0002
9750 0.0002
9850 0.0002
9950 0.0002
10050 0.0002
10150 0.0002
10250 0.0002
10350 0.0002
10450 0.0002
10550 0.0002
10650 0.0002
10750 0.0002
10850 0.0002
10950 0.0002
11050 0.0002
11150 0.0002
11250 0.0002
11350 0.0002
11450 0.0002
11550 0.0002
11650 0.0002
11750 0.0002
11850 0.0002
11950 0.0002
12050 0.0002
12150 0.0002
12250 0.0002
12350 0.0002
12450 0.0002
12550 0.0002
12650 0.0002
12750 0.0002
12850 0.0002
12950 0.0002
13050 0.0002
13150 0.0002
13250 0.0002
13350 0.0002
13450 0.0002
13550 0.0002
13650 0.0002
13750 0.0002
13850 0.0002
13950 0.0002
14050 0.0002
14150 0.0002
14250 0.0002
14350 0.0002
14450 0.0002
14550 0.0002
14650 0.0002
14750 0.0002
14850 0.0002
14950 0.0002
15050 0.0002
15150 0.0002
15250 0.0002
15350 0.0002
15450 0.0002
15550 0.0002
15650 0.0002
15750 0.0002
15850 0.0002
15950 0.0002
16050 0.0002
16150 0.0002
16250 0.0002
16350 0.0002
16450 0.0002
16550 0.0002
16650 0.0002
16750 0.0002
16850 0.0002
16950 0.0002
17050 0.0002
17150 0.0002
17250 0.0002
17350 0.0002
17450 0.0002
17550 0.0002
17650 0.0002
17750 0.0002
17850 0.0002
17950 0.0002
18050 0.0002
18150 0.0002
18250 0.0002
18350 0.0002
18450 0.0002
18550 0.0002
18650 0.0002
18750 0.0002
18850 0.0002
18950 0.0002
19050 0.0002
19150 0.0002
19250 0.0002
19350 0.0002
19450 0.0002
19550 0.0002
19650 0.0002
19750 0.0002
19850 0.0002
19950 0.0002
