   1491     856    24.3    20.3     0.1    41.6     3.2   310.9     4.5
   1555     850    26.5    21.0     2.3    47.7     3.2   313.9     5.4
   1813     825    24.7    21.0     0.9    47.8     3.2   314.7     5.0
   2079     800    23.1    21.0    -0.5    47.7     3.2   315.7     4.6
   2355     775    24.0    17.0    -2.6    95.7     2.7   319.6     4.1
   2640     750    22.0    19.0    -2.8   128.8     3.7   320.4     4.2
   3232     700    16.7    25.0    -3.4   124.5     5.0   321.0     4.3
   3856     650    11.3    33.0    -4.4   115.3     5.4   321.8     4.3
   4518     600     5.6    42.0    -6.4    99.7     4.7   322.5     4.0
   5222     550    -0.4    59.0    -7.4    70.8     4.6   323.7     4.0
   5975     500    -6.9    79.0    -9.9    55.6     3.9   324.7     3.6
   6789     450   -12.4    84.0   -14.5    66.5     1.9   327.7     2.8
   7679     400   -18.3    94.0   -19.0   281.3     1.3   331.3     2.1
   8663     350   -25.3    96.0   -25.8   336.4     1.7   334.6     1.3
   9763     300   -33.0    44.0   -41.2    96.3     6.3   338.8     0.3
  11021     250   -41.6    11.0   -60.6   121.0     2.3   344.1     0.0
  11728     225   -46.3    13.0   -63.1   168.2     2.5   347.6     0.0
  12502     200   -51.1    20.0   -64.1   129.5     2.2   351.8     0.0
  13359     175   -56.8    25.0   -67.4   360.0     0.2   356.2     0.0
  14323     150   -62.0    25.0   -72.0   330.8     1.1   363.4     0.0
  15436     125   -67.0    33.0   -74.7    11.3     2.4   373.6     0.0
  16765     100   -71.2    41.0   -77.1    33.2     4.8   390.3     0.0
  18877      70   -69.3    15.0   -81.7    41.6     3.0   436.2     0.0
  20906      50   -63.5     1.0   -92.5    41.2     7.3   494.0     0.0
  24108      30   -54.5     0.1   -98.5    16.3    12.0   596.2     0.0
