   1464     859    33.0    10.2    -2.4   188.7     3.9   319.7     3.7
   1570     850    29.1    10.0    -5.7   132.1     4.7   316.6     3.0
   1834     825    26.7    11.0    -6.2   126.5     5.3   316.9     2.9
   2103     800    24.6    12.0    -6.7   121.1     5.7   317.4     2.9
   2379     775    22.6    13.0    -7.3   116.1     5.7   318.1     2.9
   2663     750    20.5    14.0    -8.0   112.6     4.9   318.8     2.8
   3252     700    15.8    16.0   -10.0    88.0     2.9   320.0     2.6
   3874     650    10.6    21.0   -10.8    47.1     3.5   321.0     2.6
   4533     600     4.8    31.0   -10.9    45.7     5.1   321.7     2.8
   5235     550    -1.3    41.0   -12.8    51.1     2.7   322.6     2.6
   5985     500    -7.4    45.0   -17.3   291.8     1.2   324.1     2.0
   6797     450   -12.7    48.0   -21.4   306.0     7.4   327.3     1.5
   7685     400   -18.8    32.0   -31.4   312.0     7.4   330.6     0.7
   8666     350   -25.5    14.0   -45.2   213.7     0.4   334.4     0.2
   9769     300   -32.8    11.0   -53.4    48.8     1.1   339.1     0.1
  11026     250   -42.0    13.0   -59.6   264.3     1.0   343.5     0.0
  11731     225   -46.8    17.0   -61.5   251.6     2.8   346.9     0.0
  12503     200   -51.5    23.0   -63.4   211.0     2.3   351.1     0.0
  13359     175   -56.6    28.0   -66.4   232.6     2.1   356.4     0.0
  14325     150   -61.6    27.0   -71.2   270.0     4.9   363.9     0.0
  15437     125   -67.3    34.0   -74.8   292.2     5.0   373.0     0.0
  16767     100   -71.0    40.0   -77.1    22.1     1.8   390.6     0.0
  18879      70   -68.7    13.0   -82.0   349.1     4.9   437.5     0.0
  20919      50   -63.0     2.0   -88.5     9.9     4.0   494.9     0.0
  24123      30   -55.5     0.1   -99.1    11.9    10.3   593.2     0.0
