height(km) press(hPa) W(M/S) T(C) T-TE(C) QV(g/kg) SAT(g/kg) QC(g/kg) QH(g/kg) QI(g/kg) "Buoy(1e-2 m/s2)" radius(m) dwdt_entr(unitless) plumeT(K) envT(K)
0.0000 856.9257 29.2370 32.5229 0.2921 3.3845 38.0348 0.0000 0.0000 0.0000 1.8828 1.4600 -0.0602 305.8229 305.5309
0.0500 851.4569 29.1008 31.7303 0.9057 3.3845 36.5219 0.0000 0.0000 0.0000 1.8828 1.4648 -0.0602 305.0303 304.1246
0.1500 841.6974 28.9458 30.7512 0.8325 3.3840 34.8597 0.0000 0.0000 0.0000 1.4470 1.4707 -0.0618 304.0511 303.2186
0.2500 832.1188 28.7646 29.7752 0.4696 3.3829 33.2664 0.0000 0.0000 0.0000 0.7163 1.4766 -0.0612 303.0752 302.6056
0.3500 822.6134 28.5625 28.8023 0.1242 3.3812 31.7430 0.0000 0.0000 0.0000 0.0504 1.4825 -0.0601 302.1023 301.9781
0.4500 813.3197 28.3400 27.8320 -0.1770 3.3788 30.2802 0.0000 0.0000 0.0000 -0.5669 1.4884 -0.0590 301.1320 301.3090
0.5500 804.0260 28.1002 26.8645 -0.4754 3.3758 28.8843 0.0000 0.0000 0.0000 -1.0261 1.4944 -0.0578 300.1645 300.6399
0.6500 794.9030 27.8530 25.8983 -0.6217 3.3723 27.5434 0.0000 0.0000 0.0000 -1.2069 1.5004 -0.0572 299.1982 299.8199
0.7500 785.9101 27.6009 24.9325 -0.6522 3.3685 26.2555 0.0000 0.0000 0.0000 -1.2657 1.5066 -0.0577 298.2325 298.8846
0.8500 776.9172 27.3405 23.9673 -0.6822 3.3642 25.0235 0.0000 0.0000 0.0000 -1.3250 1.5131 -0.0585 297.2672 297.9494
0.9500 768.0982 27.0739 23.0023 -0.7023 3.3602 23.8390 0.0000 0.0000 0.0000 -1.3844 1.5195 -0.0582 296.3023 297.0046
1.0500 759.3264 26.8086 22.0374 -0.7198 3.3565 22.7040 0.0000 0.0000 0.0000 -1.4408 1.5260 -0.0567 295.3374 296.0572
1.1500 750.5544 26.5432 21.0726 -0.7373 3.3531 21.6182 0.0000 0.0000 0.0000 -1.5460 1.5324 -0.0551 294.3726 295.1099
1.2500 742.0745 26.2761 20.1080 -0.8018 3.3500 20.5715 0.0000 0.0000 0.0000 -1.7045 1.5387 -0.0530 293.4080 294.2099
1.3500 733.6143 26.0101 19.1438 -0.8693 3.3470 19.5705 0.0000 0.0000 0.0000 -1.8638 1.5448 -0.0505 292.4438 293.3131
1.4500 725.1541 25.7444 18.1799 -0.9364 3.3441 18.6139 0.0000 0.0000 0.0000 -2.0203 1.5508 -0.0483 291.4799 292.4163
1.5500 716.6938 25.4769 17.2166 -1.0030 3.3413 17.7002 0.0000 0.0000 0.0000 -2.1741 1.5568 -0.0466 290.5165 291.5195
1.6500 708.2336 25.2076 16.2537 -1.0691 3.3384 16.8274 0.0000 0.0000 0.0000 -2.3279 1.5628 -0.0452 289.5536 290.6227
1.7500 699.7852 24.9313 15.2914 -1.1367 3.3354 15.9939 0.0000 0.0000 0.0000 -2.5750 1.5688 -0.0441 288.5914 289.7281
1.8500 691.7725 24.6425 14.3301 -1.2807 3.3325 15.1887 0.0000 0.0000 0.0000 -2.9122 1.5748 -0.0429 287.6301 288.9108
