height(km) press(hPa) W(M/S) T(C) T-TE(C) QV(g/kg) SAT(g/kg) QC(g/kg) QH(g/kg) QI(g/kg) "Buoy(1e-2 m/s2)" radius(m) dwdt_entr(unitless) plumeT(K) envT(K)
0.0000 859.9973 26.6077 21.9719 0.3200 4.2650 19.8790 0.0000 0.0000 0.0000 -12.2375 1.0656 -0.0392 295.2719 294.9519
0.0500 855.6113 26.0591 21.2001 -3.4343 4.2647 19.0358 0.0000 0.0000 0.0000 -12.2375 1.0680 -0.0392 294.5001 297.9344
0.1500 846.5750 25.2671 20.2866 -7.8894 4.2625 18.1637 0.0000 0.0000 0.0000 -17.1341 1.0714 -0.0327 293.5866 301.4760
0.2500 837.0692 24.4208 19.3791 -8.0365 4.2600 17.3441 0.0000 0.0000 0.0000 -17.4821 1.0751 -0.0353 292.6790 300.7155
0.3500 827.5635 23.5244 18.4782 -8.1769 4.2571 16.5649 0.0000 0.0000 0.0000 -17.8451 1.0791 -0.0361 291.7782 299.9551
0.4500 818.2379 22.5708 17.5844 -8.3246 4.2542 15.8210 0.0000 0.0000 0.0000 -18.2317 1.0835 -0.0366 290.8844 299.2090
0.5500 808.9786 21.5543 16.6982 -8.4701 4.2517 15.1134 0.0000 0.0000 0.0000 -18.6089 1.0882 -0.0367 289.9982 298.4683
0.6500 799.7254 20.4695 15.8205 -8.6064 4.2494 14.4421 0.0000 0.0000 0.0000 -18.9410 1.0934 -0.0364 289.1205 297.7269
0.7500 790.6675 19.3078 14.9527 -8.7134 4.2473 13.8033 0.0000 0.0000 0.0000 -19.2255 1.0990 -0.0359 288.2527 296.9661
0.8500 781.6095 18.0564 14.0963 -8.8090 4.2453 13.1997 0.0000 0.0000 0.0000 -19.4599 1.1053 -0.0350 287.3962 296.2052
0.9500 772.6204 16.7037 13.2528 -8.8688 4.2435 12.6298 0.0000 0.0000 0.0000 -19.5801 1.1122 -0.0337 286.5528 295.4216
1.0500 763.8176 15.2295 12.4243 -8.8521 4.2424 12.0911 0.0000 0.0000 0.0000 -19.5996 1.1200 -0.0319 285.7243 294.5765
1.1500 755.0148 13.5954 11.6148 -8.8167 4.2418 11.5879 0.0000 0.0000 0.0000 -19.5645 1.1289 -0.0295 284.9148 293.7314
1.2500 746.3408 11.7194 10.8304 -8.7537 4.2421 11.1206 0.0000 0.0000 0.0000 -19.4337 1.1394 -0.0262 284.1304 292.8841
1.3500 737.8375 9.2943 10.1007 -8.6330 4.2433 10.7076 0.0000 0.0000 0.0000 -18.9751 1.1536 -0.0210 283.4007 292.0338
1.4500 729.3340 5.8645 9.6032 -8.2802 4.2435 10.4734 0.0000 0.0000 0.0000 -17.4211 1.1888 -0.0130 282.9032 291.1834
1.5500 720.8307 2.0213 9.8432 -7.1899 4.2345 10.7740 0.0000 0.0000 0.0000 -13.9497 1.2969 -0.0041 283.1432 290.3331
1.6500 712.3272 -0.5712 11.0397 -5.1430 4.2082 11.8279 0.0000 0.0000 0.0000 -9.1742 1.4970 -0.0009 284.3397 289.4827
1.7500 703.8239 -1.2761 12.4181 -2.9143 4.1724 13.1380 0.0000 0.0000 0.0000 -4.9695 1.7073 -0.0016 285.7181 288.6324
1.8500 695.5691 -0.9692 13.0687 -1.3939 4.1383 13.8888 0.0000 0.0000 0.0000 -2.3812 1.8625 -0.0010 286.3687 287.7626
1.9500 687.5176 -0.5461 12.9682 -0.6087 4.1068 13.9611 0.0000 0.0000 0.0000 -1.0966 1.9678 -0.0005 286.2682 286.8769
2.0500 679.4660 -0.2645 12.4431 -0.2482 4.0751 13.6422 0.0000 0.0000 0.0000 -0.5211 2.0425 -0.0002 285.7431 285.9913
2.1500 671.4146 -0.1186 11.7122 -0.0934 4.0408 13.1472 0.0000 0.0000 0.0000 -0.2798 2.0979 -0.0001 285.0122 285.1056
2.2500 663.3630 -0.0532 10.8902 -0.0298 4.0024 12.5906 0.0000 0.0000 0.0000 -0.1799 2.1392 -0.0000 284.1902 284.2199
2.3500 655.3115 -0.0266 10.0336 -0.0007 3.9592 12.0270 0.0000 0.0000 0.0000 -0.1368 2.1686 -0.0000 283.3336 283.3343
2.4500 647.4140 -0.0167 9.1757 0.0101 3.9108 11.4825 0.0000 0.0000 0.0000 -0.1287 2.1870 -0.0000 282.4756 282.4655
2.5500 639.8152 -0.0130 8.3327 0.0030 3.8570 10.9662 0.0000 0.0000 0.0000 -0.1320 2.1945 -0.0000 281.6327 281.6297
2.6500 632.2164 -0.0108 7.4946 0.0008 3.7978 10.4745 0.0000 0.0000 0.0000 -0.1289 2.1907 -0.0000 280.7946 280.7938
2.7500 624.6177 -0.0092 6.6581 0.0002 3.7333 10.0038 0.0000 0.0000 0.0000 -0.1250 2.1747 -0.0000 279.9581 279.9579
2.8500 617.0189 -0.0080 5.8219 -0.0002 3.6632 9.5523 0.0000 0.0000 0.0000 -0.1226 2.1456 -0.0000 279.1219 279.1221
2.9500 609.4201 -0.0072 4.9853 -0.0009 3.5875 9.1190 0.0000 0.0000 0.0000 -0.1250 2.1019 -0.0000 278.2853 278.2862
3.0500 601.8214 -0.0059 4.1464 -0.0040 3.5058 8.7019 0.0000 0.0000 0.0000 -0.1135 2.0418 -0.0000 277.4464 277.4503
3.1500 594.5692 -0.0041 3.2964 -0.0019 3.4173 8.2907 0.0000 0.0000 0.0000 -0.0834 1.9632 -0.0000 276.5964 276.5983
3.2500 587.4263 -0.0026 2.4408 -0.0004 3.3225 7.8922 0.0000 0.0000 0.0000 -0.0561 1.8621 -0.0000 275.7408 275.7411
3.3500 580.2834 -0.0015 1.5839 -0.0001 3.2219 7.5102 0.0000 0.0000 0.0000 -0.0351 1.7334 -0.0000 274.8839 274.8840
3.4500 573.1406 -0.0007 0.7268 -0.0000 3.1165 7.1447 0.0000 0.0000 0.0000 -0.0185 1.5706 -0.0000 274.0268 274.0269
3.5500 565.9978 -0.0001 -0.1302 0.0000 3.0074 6.7952 0.0000 0.0000 0.0000 0.0000 1.3661 -0.0000 273.1697 273.1697
