date_time,fire_id,consumed_flaming,consumed_smoldering,avg_fuel_loading,total_consumed,lat,lon,active_fire_area,heat_flux,pth
2003-07-27 23:00:00,20,0.5403476412764785,0.8925129074717901,9.02896815286623,1.4328605487482686,41.764610410974,-121.322662431243,876.3214552950714,6.330583155911339,7.05
2003-07-28 00:00:00,20,0.438265852766636,0.3531178012876538,5.685693991759414,0.7913836540542898,41.764610410974,-121.322662431243,296.4438365547216,2.64739481547126,5.65
2003-07-28 01:00:00,20,0.4366300158482838,0.3491260943906212,5.685693991759414,0.7857561102389052,41.764610410974,-121.322662431243,212.32185956242256,2.3147548491332754,5.45
2003-07-28 02:00:00,20,0.4345031104293936,0.3462131684148679,5.685693991759414,0.7807162788442614,41.764610410974,-121.322662431243,208.59066649950697,2.3077285987186245,5.45
2003-07-28 23:00:00,20,0.4356619834169142,0.3473106494480361,5.685693991759414,0.7829726328649503,41.732412006863,-121.344128033984,222.16769864806383,2.322838835162829,4.85
2003-07-21 07:00:00,28,2.1297444296200982,5.367222300323898,42.6071339239187,7.496966729943996,40.707429475973,-120.023993465403,726.7067474982529,19.05275918077519,1.25
2003-07-21 08:00:00,28,2.128698492676404,5.3683204149839145,42.6071339239187,7.497018907660319,40.707429475973,-120.023993465403,927.9054626462477,19.05969560794808,1.35
2003-07-21 09:00:00,28,2.1066736259961023,5.390433966384574,42.6071339239187,7.497107592380676,40.707429475973,-120.023993465403,598.9389809719531,19.09375389557114,0.75
2003-07-21 10:00:00,28,2.0826475323453923,5.414434603137203,42.6071339239187,7.497082135482595,40.707429475973,-120.023993465403,396.1386864154296,19.09915266362292,0.65
2003-07-21 11:00:00,28,2.022396552003101,5.474653992223969,42.6071339239187,7.49705054422707,40.707429475973,-120.023993465403,268.2207848072775,19.12648382912353,0.55
2003-08-07 23:00:00,35,2.3273599667938534,3.76803363649684,41.76924657534245,6.095393603290693,40.433743041023,-120.89335037642,206.24243578305231,14.784381328670136,2.15
2003-09-26 23:00:00,37,3.082303169048151,4.28111090770572,53.22320132013201,7.363414076753872,40.310315825261,-123.984397171146,206.3390069855148,16.282188446295265,0.65
2003-07-22 23:00:00,50,1.431559168771111,4.781999999774516,37.13292917276717,6.213559168545626,39.762942955362,-120.093756674312,2151.7279521864243,17.36488621803582,8.95
2003-07-23 00:00:00,50,1.652031620901339,7.582153639874559,57.52819913419911,9.234185260775895,39.762942955362,-120.093756674312,1244.25176188431,17.093854408496906,8.05
2003-07-23 01:00:00,50,1.6568384714060025,7.579862736552925,57.52819913419911,9.236701207958928,39.762942955362,-120.093756674312,424.03622682248607,18.686695198332444,6.85
2003-07-23 02:00:00,50,1.6477324027749602,7.560073918865888,57.52819913419911,9.207806321640849,39.762942955362,-120.093756674312,425.13702383119136,18.83854795073326,6.85
2003-09-29 23:00:00,54,2.0885941320911017,5.687716913238809,53.5740039727582,7.776311045329911,39.650248540971,-122.825254623124,2445.683749333464,16.33533090902959,3.05
2003-09-30 00:00:00,54,2.1951456283744046,4.51493209886885,59.8634637105208,6.710077727243255,39.650248540971,-122.825254623124,1609.5156181621132,16.339010341106594,2.85
2003-09-30 01:00:00,54,2.1822224494049776,4.462078209624421,59.8634637105208,6.6443006590294,39.650248540971,-122.825254623124,688.0061248638317,18.900289089721987,2.55
2003-09-30 02:00:00,54,2.130851544713603,4.400505553727201,59.8634637105208,6.531357098440804,39.650248540971,-122.825254623124,676.2417534223878,18.60357858272273,2.55
2003-09-30 03:00:00,54,2.1277750451833324,4.38517192005715,59.8634637105208,6.5129469652404826,39.650248540971,-122.825254623124,655.4320744907767,18.08265893004213,2.55
2003-09-30 22:00:00,54,2.2103842019262294,4.6121818235779495,59.8634637105208,6.8225660255041785,39.623416537544,-122.830621023809,241.51265141483225,19.33191582248113,2.15
2003-09-30 23:00:00,54,2.2114497812779663,4.572304740268895,59.8634637105208,6.783754521546861,39.623416537544,-122.830621023809,202.2324225439557,19.23148727949929,2.05
