height(km) press(hPa) W(M/S) T(C) T-TE(C) QV(g/kg) SAT(g/kg) QC(g/kg) QH(g/kg) QI(g/kg) "Buoy(1e-2 m/s2)" radius(m) dwdt_entr(unitless) plumeT(K) envT(K)
0.0000 860.9969 27.3027 22.9517 0.3003 3.9536 21.1123 0.0000 0.0000 0.0000 -9.5224 1.1996 -0.0483 296.2516 295.9513
0.0500 856.1724 26.8182 22.1782 -2.5785 3.9556 20.2311 0.0000 0.0000 0.0000 -9.5224 1.2027 -0.0483 295.4781 298.0566
0.1500 846.5750 26.1661 21.2452 -5.9445 3.9600 19.3002 0.0000 0.0000 0.0000 -13.5090 1.2060 -0.0363 294.5452 300.4897
0.2500 837.0692 25.5049 20.3136 -6.1537 3.9646 18.4076 0.0000 0.0000 0.0000 -14.0109 1.2093 -0.0310 293.6136 299.7673
0.3500 827.5635 24.8110 19.3841 -6.3608 3.9696 17.5545 0.0000 0.0000 0.0000 -14.4888 1.2127 -0.0298 292.6841 299.0448
0.4500 818.2126 24.0822 18.4569 -6.5501 3.9748 16.7365 0.0000 0.0000 0.0000 -14.9356 1.2162 -0.0287 291.7569 298.3070
0.5500 808.9190 23.3154 17.5324 -6.7311 3.9802 15.9543 0.0000 0.0000 0.0000 -15.3686 1.2197 -0.0278 290.8324 297.5635
0.6500 799.6348 22.5063 16.6109 -6.9084 3.9858 15.2077 0.0000 0.0000 0.0000 -15.7908 1.2234 -0.0269 289.9109 296.8193
0.7500 790.5768 21.6526 15.6911 -7.0673 3.9918 14.4900 0.0000 0.0000 0.0000 -16.2023 1.2271 -0.0255 288.9911 296.0584
0.8500 781.5189 20.7519 14.7733 -7.2243 3.9981 13.8045 0.0000 0.0000 0.0000 -16.5663 1.2309 -0.0236 288.0733 295.2976
0.9500 772.5150 19.8053 13.8576 -7.3439 4.0047 13.1490 0.0000 0.0000 0.0000 -16.7785 1.2347 -0.0219 287.1576 294.5015
1.0500 763.6497 18.8128 12.9438 -7.3712 4.0115 12.5208 0.0000 0.0000 0.0000 -16.8783 1.2386 -0.0203 286.2438 293.6150
1.1500 754.7844 17.7649 12.0326 -7.3958 4.0183 11.9216 0.0000 0.0000 0.0000 -16.9929 1.2426 -0.0188 285.3326 292.7285
1.2500 746.0791 16.6477 11.1240 -7.4417 4.0250 11.3476 0.0000 0.0000 0.0000 -17.1514 1.2468 -0.0172 284.4240 291.8658
1.3500 737.5612 15.4443 10.2181 -7.5129 4.0314 10.7975 0.0000 0.0000 0.0000 -17.3297 1.2510 -0.0153 283.5181 291.0310
1.4500 729.0433 14.1307 9.3161 -7.5802 4.0375 10.2740 0.0000 0.0000 0.0000 -17.4971 1.2554 -0.0133 282.6161 290.1962
1.5500 720.5255 12.6660 8.4195 -7.6420 4.0434 9.7769 0.0000 0.0000 0.0000 -17.6473 1.2600 -0.0114 281.7195 289.3615
1.6500 712.0075 10.9552 7.5323 -7.6944 4.0492 9.3075 0.0000 0.0000 0.0000 -17.7433 1.2649 -0.0094 280.8323 288.5267
1.7500 703.4896 8.6415 6.6833 -7.7087 4.0545 8.8818 0.0000 0.0000 0.0000 -17.5432 1.2715 -0.0070 279.9833 287.6920
1.8500 695.2394 5.2624 6.0658 -7.4986 4.0540 8.6089 0.0000 0.0000 0.0000 -16.2192 1.2884 -0.0038 279.3658 286.8644
1.9500 687.1749 1.5446 6.2193 -6.5226 4.0304 8.8055 0.0000 0.0000 0.0000 -12.9439 1.3407 -0.0009 279.5193 286.0418
2.0500 679.1104 -0.7977 7.3157 -4.6036 3.9754 9.6197 0.0000 0.0000 0.0000 -8.4211 1.4343 -0.0003 280.6157 285.2193
2.1500 671.0458 -1.2935 8.5475 -2.5492 3.9116 10.6031 0.0000 0.0000 0.0000 -4.5061 1.5314 -0.0003 281.8475 284.3967
2.2500 662.9813 -0.9183 9.0923 -1.1818 3.8579 11.1441 0.0000 0.0000 0.0000 -2.1289 1.6062 -0.0001 282.3923 283.5741
2.3500 654.9169 -0.4972 8.9666 -0.4850 3.8136 11.1868 0.0000 0.0000 0.0000 -0.9576 1.6626 -0.0001 282.2666 282.7515
2.4500 647.0295 -0.2347 8.4779 -0.1750 3.7733 10.9510 0.0000 0.0000 0.0000 -0.4579 1.7094 -0.0000 281.7779 281.9529
2.5500 639.4192 -0.1050 7.8286 -0.0634 3.7337 10.5972 0.0000 0.0000 0.0000 -0.2672 1.7517 -0.0000 281.1285 281.1919
2.6500 631.8088 -0.0488 7.1096 -0.0212 3.6932 10.2045 0.0000 0.0000 0.0000 -0.1890 1.7924 -0.0000 280.4096 280.4309
2.7500 624.1985 -0.0263 6.3629 -0.0069 3.6506 9.8060 0.0000 0.0000 0.0000 -0.1561 1.8318 -0.0000 279.6629 279.6699
2.8500 616.5882 -0.0174 5.6053 -0.0035 3.6051 9.4145 0.0000 0.0000 0.0000 -0.1438 1.8691 -0.0000 278.9053 278.9088
2.9500 608.9778 -0.0141 4.8416 -0.0062 3.5559 9.0333 0.0000 0.0000 0.0000 -0.1534 1.9026 -0.0000 278.1416 278.1478
3.0500 601.3674 -0.0113 4.0664 -0.0204 3.5026 8.6591 0.0000 0.0000 0.0000 -0.1449 1.9300 -0.0000 277.3664 277.3867
3.1500 594.1406 -0.0080 3.2499 -0.0087 3.4447 8.2691 0.0000 0.0000 0.0000 -0.1099 1.9491 -0.0000 276.5499 276.5586
3.2500 586.9977 -0.0058 2.4137 -0.0020 3.3820 7.8826 0.0000 0.0000 0.0000 -0.0879 1.9574 -0.0000 275.7137 275.7157
3.3500 579.8549 -0.0044 1.5724 -0.0004 3.3145 7.5096 0.0000 0.0000 0.0000 -0.0751 1.9525 -0.0000 274.8724 274.8729
3.4500 572.7120 -0.0034 0.7301 0.0001 3.2422 7.1518 0.0000 0.0000 0.0000 -0.0652 1.9316 -0.0000 274.0301 274.0300
3.5500 565.5692 -0.0024 -0.1119 0.0009 3.1652 6.8096 0.0000 0.0000 0.0000 -0.0534 1.8916 -0.0000 273.1880 273.1872
3.6500 558.4263 -0.0010 -0.9511 0.0046 3.0833 6.4835 0.0000 0.0000 0.0000 -0.0214 1.8288 -0.0000 272.3489 272.3443
