height(km) press(hPa) W(M/S) T(C) T-TE(C) QV(g/kg) SAT(g/kg) QC(g/kg) QH(g/kg) QI(g/kg) "Buoy(1e-2 m/s2)" radius(m) dwdt_entr(unitless) plumeT(K) envT(K)
0.0000 859.9971 26.1053 31.8863 0.3375 4.2733 36.4769 0.0000 0.0000 0.0000 4.8022 1.0054 -0.0619 305.1862 304.8488
0.0500 855.3242 26.0307 31.0809 1.4480 4.2721 34.9594 0.0000 0.0000 0.0000 4.8022 1.0094 -0.0619 304.3809 302.9329
0.1500 845.8939 26.0262 30.0680 2.8972 4.2680 33.2790 0.0000 0.0000 0.0000 6.0384 1.0162 -0.0704 303.3680 300.4708
0.2500 836.3519 25.9102 29.0585 2.5365 4.2635 31.6839 0.0000 0.0000 0.0000 5.2686 1.0237 -0.0879 302.3585 299.8219
0.3500 826.8100 25.7292 28.0522 2.1791 4.2586 30.1649 0.0000 0.0000 0.0000 4.4196 1.0319 -0.0962 301.3522 299.1731
0.4500 817.4971 25.4788 27.0513 1.7515 4.2533 28.7136 0.0000 0.0000 0.0000 3.4749 1.0410 -0.1039 300.3513 298.5998
0.5500 808.2379 25.1583 26.0572 1.3129 4.2477 27.3356 0.0000 0.0000 0.0000 2.5448 1.0509 -0.1112 299.3571 298.0443
0.6500 799.0008 24.7695 25.0707 0.9007 4.2419 26.0296 0.0000 0.0000 0.0000 1.8216 1.0618 -0.1178 298.3707 297.4700
0.7500 789.9427 24.3358 24.0900 0.6445 4.2351 24.7834 0.0000 0.0000 0.0000 1.2815 1.0730 -0.1201 297.3900 296.7454
0.8500 780.8848 23.8784 23.1147 0.3939 4.2275 23.5995 0.0000 0.0000 0.0000 0.8002 1.0846 -0.1184 296.4146 296.0208
0.9500 771.9054 23.4047 22.1439 0.1910 4.2187 22.4711 0.0000 0.0000 0.0000 0.4677 1.0964 -0.1160 295.4439 295.2529
1.0500 763.0714 22.9243 21.1759 0.0710 4.2084 21.3911 0.0000 0.0000 0.0000 0.2318 1.1085 -0.1128 294.4759 294.4048
1.1500 754.2374 22.4394 20.2104 -0.0464 4.1964 20.3614 0.0000 0.0000 0.0000 -0.0186 1.1209 -0.1091 293.5104 293.5568
1.2500 745.5756 21.9476 19.2477 -0.1687 4.1838 19.3755 0.0000 0.0000 0.0000 -0.2989 1.1335 -0.1055 292.5477 292.7164
1.3500 737.0721 21.4471 18.2879 -0.2952 4.1717 18.4321 0.0000 0.0000 0.0000 -0.5885 1.1463 -0.1020 291.5879 291.8831
1.4500 728.5687 20.9372 17.3311 -0.4186 4.1597 17.5336 0.0000 0.0000 0.0000 -0.8701 1.1595 -0.0986 290.6311 291.0497
1.5500 720.0654 20.4179 16.3774 -0.5390 4.1479 16.6779 0.0000 0.0000 0.0000 -1.1436 1.1730 -0.0951 289.6774 290.2164
1.6500 711.5619 19.8886 15.4267 -0.6564 4.1360 15.8630 0.0000 0.0000 0.0000 -1.4093 1.1869 -0.0917 288.7267 289.3831
1.7500 703.0585 19.3493 14.4792 -0.7706 4.1237 15.0871 0.0000 0.0000 0.0000 -1.6341 1.2011 -0.0882 287.7792 288.5497
1.8500 694.8445 18.8058 13.5336 -0.8493 4.1117 14.3412 0.0000 0.0000 0.0000 -1.8001 1.2156 -0.0841 286.8336 287.6829
1.9500 686.7929 18.2654 12.5890 -0.9082 4.1000 13.6261 0.0000 0.0000 0.0000 -1.9417 1.2300 -0.0791 285.8890 286.7972
2.0500 678.7415 17.7299 11.6455 -0.9660 4.0885 12.9439 0.0000 0.0000 0.0000 -2.0786 1.2446 -0.0740 284.9455 285.9116
2.1500 670.6898 17.1978 10.7032 -1.0227 4.0769 12.2934 0.0000 0.0000 0.0000 -2.2110 1.2593 -0.0693 284.0032 285.0259
2.2500 662.6384 16.6680 9.7619 -1.0783 4.0650 11.6731 0.0000 0.0000 0.0000 -2.3392 1.2740 -0.0649 283.0619 284.1402
2.3500 654.5868 16.1383 8.8220 -1.1326 4.0527 11.0818 0.0000 0.0000 0.0000 -2.4747 1.2890 -0.0608 282.1219 283.2545
2.4500 646.7252 15.6075 7.8830 -1.1937 4.0404 10.5150 0.0000 0.0000 0.0000 -2.6338 1.3039 -0.0564 281.1830 282.3766
2.5500 639.1148 15.0804 6.9442 -1.2649 4.0285 9.9704 0.0000 0.0000 0.0000 -2.8055 1.3183 -0.0512 280.2442 281.5091
2.6500 631.5045 14.5600 6.0058 -1.3357 4.0169 9.4512 0.0000 0.0000 0.0000 -2.9750 1.3324 -0.0459 279.3058 280.6415
2.7500 623.8941 14.0439 5.0676 -1.4064 4.0054 8.9563 0.0000 0.0000 0.0000 -3.1428 1.3460 -0.0410 278.3676 279.7739
2.8500 616.2837 13.5295 4.1295 -1.4769 3.9940 8.4847 0.0000 0.0000 0.0000 -3.3091 1.3593 -0.0365 277.4295 278.9063
