height(km) press(hPa) W(M/S) T(C) T-TE(C) QV(g/kg) SAT(g/kg) QC(g/kg) QH(g/kg) QI(g/kg) "Buoy(1e-2 m/s2)" radius(m) dwdt_entr(unitless) plumeT(K) envT(K)
0.0000 856.9257 32.0809 32.5000 0.2691 3.3832 37.9827 0.0000 0.0000 0.0000 1.8454 1.9079 -0.0514 305.8000 305.5309
0.0500 851.4569 31.9834 31.7126 0.8880 3.3832 36.4833 0.0000 0.0000 0.0000 1.8454 1.9123 -0.0514 305.0126 304.1246
0.1500 841.6974 31.8700 30.7346 0.8159 3.3829 34.8249 0.0000 0.0000 0.0000 1.4109 1.9178 -0.0529 304.0345 303.2186
0.2500 832.1188 31.7321 29.7589 0.4532 3.3821 33.2334 0.0000 0.0000 0.0000 0.6801 1.9233 -0.0527 303.0588 302.6056
0.3500 822.6134 31.5743 28.7855 0.1073 3.3809 31.7104 0.0000 0.0000 0.0000 0.0125 1.9288 -0.0520 302.0854 301.9781
0.4500 813.3197 31.3972 27.8139 -0.1952 3.3792 30.2467 0.0000 0.0000 0.0000 -0.6082 1.9343 -0.0513 301.1139 301.3090
0.5500 804.0260 31.2034 26.8443 -0.4956 3.3770 28.8486 0.0000 0.0000 0.0000 -1.0716 1.9398 -0.0506 300.1443 300.6399
0.6500 794.9030 31.0021 25.8759 -0.6441 3.3745 27.5053 0.0000 0.0000 0.0000 -1.2573 1.9454 -0.0503 299.1758 299.8199
0.7500 785.9101 30.7962 24.9076 -0.6770 3.3718 26.2151 0.0000 0.0000 0.0000 -1.3213 1.9512 -0.0510 298.2076 298.8846
0.8500 776.9172 30.5830 23.9399 -0.7095 3.3687 24.9809 0.0000 0.0000 0.0000 -1.3858 1.9572 -0.0520 297.2399 297.9494
0.9500 768.0982 30.3639 22.9724 -0.7322 3.3658 23.7943 0.0000 0.0000 0.0000 -1.4507 1.9632 -0.0520 296.2724 297.0046
1.0500 759.3264 30.1448 22.0049 -0.7523 3.3631 22.6575 0.0000 0.0000 0.0000 -1.5124 1.9692 -0.0510 295.3049 296.0572
1.1500 750.5544 29.9248 21.0377 -0.7722 3.3606 21.5703 0.0000 0.0000 0.0000 -1.6232 1.9751 -0.0499 294.3376 295.1099
1.2500 742.0745 29.7021 20.0705 -0.8394 3.3583 20.5222 0.0000 0.0000 0.0000 -1.7874 1.9810 -0.0483 293.3705 294.2099
1.3500 733.6143 29.4789 19.1037 -0.9095 3.3561 19.5201 0.0000 0.0000 0.0000 -1.9527 1.9867 -0.0463 292.4037 293.3131
1.4500 725.1541 29.2549 18.1371 -0.9792 3.3540 18.5625 0.0000 0.0000 0.0000 -2.1153 1.9923 -0.0446 291.4371 292.4163
1.5500 716.6938 29.0282 17.1709 -1.0486 3.3519 17.6477 0.0000 0.0000 0.0000 -2.2755 1.9979 -0.0433 290.4709 291.5195
1.6500 708.2336 28.7992 16.2051 -1.1177 3.3497 16.7740 0.0000 0.0000 0.0000 -2.4360 2.0034 -0.0422 289.5051 290.6227
1.7500 699.7852 28.5636 15.2399 -1.1882 3.3475 15.9397 0.0000 0.0000 0.0000 -2.6903 2.0090 -0.0415 288.5399 289.7281
1.8500 691.7725 28.3164 14.2753 -1.3355 3.3454 15.1337 0.0000 0.0000 0.0000 -3.0352 2.0146 -0.0407 287.5753 288.9108
1.9500 683.7596 28.0585 13.3117 -1.4818 3.3433 14.3652 0.0000 0.0000 0.0000 -3.3776 2.0201 -0.0397 286.6117 288.0935
