height(km) press(hPa) W(M/S) T(C) T-TE(C) QV(g/kg) SAT(g/kg) QC(g/kg) QH(g/kg) QI(g/kg) "Buoy(1e-2 m/s2)" radius(m) dwdt_entr(unitless) plumeT(K) envT(K)
0.0000 859.9973 27.4189 21.9626 0.3107 4.2644 19.8674 0.0000 0.0000 0.0000 -12.2663 1.1655 -0.0373 295.2626 294.9519
0.0500 855.6113 26.8961 21.1899 -3.4445 4.2642 19.0236 0.0000 0.0000 0.0000 -12.2663 1.1678 -0.0373 294.4899 297.9344
0.1500 846.5750 26.1344 20.2705 -7.9055 4.2622 18.1452 0.0000 0.0000 0.0000 -17.1760 1.1712 -0.0312 293.5705 301.4760
0.2500 837.0692 25.3218 19.3565 -8.0590 4.2600 17.3192 0.0000 0.0000 0.0000 -17.5388 1.1748 -0.0338 292.6565 300.7155
0.3500 827.5635 24.4626 18.4485 -8.2066 4.2574 16.5334 0.0000 0.0000 0.0000 -17.9184 1.1787 -0.0347 291.7485 299.9551
0.4500 818.2379 23.5503 17.5467 -8.3623 4.2548 15.7825 0.0000 0.0000 0.0000 -18.3235 1.1829 -0.0353 290.8467 299.2090
0.5500 808.9786 22.5801 16.6516 -8.5167 4.2526 15.0676 0.0000 0.0000 0.0000 -18.7215 1.1875 -0.0356 289.9516 298.4683
0.6500 799.7254 21.5475 15.7639 -8.6630 4.2506 14.3888 0.0000 0.0000 0.0000 -19.0772 1.1925 -0.0355 289.0639 297.7269
0.7500 790.6675 20.4457 14.8849 -8.7812 4.2487 13.7418 0.0000 0.0000 0.0000 -19.3887 1.1980 -0.0352 288.1848 296.9661
0.8500 781.6095 19.2646 14.0155 -8.8897 4.2469 13.1294 0.0000 0.0000 0.0000 -19.6539 1.2039 -0.0347 287.3155 296.2052
0.9500 772.6204 17.9961 13.1572 -8.9644 4.2453 12.5497 0.0000 0.0000 0.0000 -19.8105 1.2105 -0.0338 286.4572 295.4216
1.0500 763.8176 16.6271 12.3112 -8.9653 4.2443 11.9999 0.0000 0.0000 0.0000 -19.8741 1.2179 -0.0325 285.6111 294.5765
1.1500 755.0148 15.1322 11.4801 -8.9514 4.2438 11.4833 0.0000 0.0000 0.0000 -19.8957 1.2262 -0.0308 284.7801 293.7314
1.2500 746.3408 13.4709 10.6671 -8.9170 4.2439 10.9983 0.0000 0.0000 0.0000 -19.8631 1.2356 -0.0283 283.9671 292.8841
1.3500 737.8375 11.5491 9.8791 -8.8546 4.2449 10.5473 0.0000 0.0000 0.0000 -19.7272 1.2467 -0.0248 283.1791 292.0338
1.4500 729.3340 9.0055 9.1530 -8.7305 4.2466 10.1558 0.0000 0.0000 0.0000 -19.1995 1.2623 -0.0195 282.4529 291.1834
1.5500 720.8307 5.3945 8.7090 -8.3241 4.2454 9.9693 0.0000 0.0000 0.0000 -17.4051 1.3054 -0.0114 282.0090 290.3331
1.6500 712.3272 1.5165 9.1029 -7.0799 4.2288 10.3667 0.0000 0.0000 0.0000 -13.6082 1.4357 -0.0029 282.4029 289.4827
1.7500 703.8239 -0.8903 10.4247 -4.9077 4.1890 11.4846 0.0000 0.0000 0.0000 -8.7007 1.6586 -0.0014 283.7247 288.6324
1.8500 695.5691 -1.3789 11.7654 -2.6972 4.1412 12.7268 0.0000 0.0000 0.0000 -4.6033 1.8752 -0.0016 285.0654 287.7626
1.9500 687.5176 -0.9742 12.3166 -1.2603 4.0987 13.3651 0.0000 0.0000 0.0000 -2.1795 2.0276 -0.0009 285.6166 286.8769
2.0500 679.4660 -0.5297 12.1484 -0.5429 4.0607 13.3750 0.0000 0.0000 0.0000 -1.0059 2.1295 -0.0004 285.4484 285.9913
2.1500 671.4146 -0.2505 11.5883 -0.2173 4.0231 13.0378 0.0000 0.0000 0.0000 -0.4842 2.2019 -0.0002 284.8883 285.1056
2.2500 663.3630 -0.1102 10.8422 -0.0778 3.9830 12.5497 0.0000 0.0000 0.0000 -0.2618 2.2558 -0.0001 284.1422 284.2199
2.3500 655.3115 -0.0491 10.0172 -0.0171 3.9387 12.0136 0.0000 0.0000 0.0000 -0.1694 2.2961 -0.0000 283.3171 283.3343
2.4500 647.4140 -0.0256 9.1710 0.0054 3.8895 11.4788 0.0000 0.0000 0.0000 -0.1441 2.3248 -0.0000 282.4709 282.4655
2.5500 639.8152 -0.0170 8.3314 0.0017 3.8349 10.9653 0.0000 0.0000 0.0000 -0.1426 2.3427 -0.0000 281.6314 281.6297
2.6500 632.2164 -0.0131 7.4944 0.0005 3.7750 10.4743 0.0000 0.0000 0.0000 -0.1385 2.3496 -0.0000 280.7943 280.7938
